17,2023,2024,一名,一定,一审,一审判决,一案,一点,一直,一种,一起,上诉,下达,不可,不同,不断,不满,不能,严格,严重,个人,个案,中国,中新网,中级,主动,主张,主要,主观,之,之后,之外,予以,事件,事实,事实清楚,交代,产生,亲属,人,人民检察院,人民法院,人身,介绍,从轻,以下,以后,价值,会,传统,体现,体系,作出,作用,依法,侦查,便,保障,做,儿子,充分,先,全国,全面,公众,公共安全,共同,具体,具备,具有,内容,决定,准确,出,出版,分为,分享,刑,刑事,刑事责任,刑法,刑罚,判决,判处,判处死刑,制度,前,剥夺,办案,加强,动机,包括,北京,十分,危害,危害性,危险,危险性,历史,原则,发展,发现,发生,取得,古代,可能,号,司法,各级,合法,名,后果,命令,回来,国家,地方,均,坚持,基本,基础,处罚,复核,大字体,始终,存在,学习,官吏,定罪,实施,实践,审判程序,审查,审核,审理,宣判,对此,对象,导致,小字体,属于,岁,工作,巨大,已经,年,应,应当,废除,建立,当时,形式,形成,影响,得到,心理,必须,思想,性质,恶劣,恶性,情况,情节,惩处,想,意义,意思,意见,成为,成立,我国,手段,执行,报,指,指出,指导,掌握,接受,提供,提出,改革,政治权利,政策,故意,故意杀人罪,文化,文章,新,方式,方面,日,日报,时,时期,时间,明显,明确,是否,最后,最终,最高,最高人民法院,有人,有期徒刑,期间,未,机关,杀,杀人,杀害,条件,来源,极其,极大,构成,标准,核准,案件,案例,欲,武卓立,死,死亡,死刑,死缓,残忍,母亲,毫无,没有,法,法学,法官,法定,法律,法治,法院,涉及,父亲,特别,特定,特殊,犯罪,犯罪行为,现在,理念,理论,生命,生活,监督,目的,直接,相关,研究,确实,确立,社会,积极,称,程序,程度,立即,立法,符合,第二,精神,终身,结合,统一,统治者,维护,编辑,网,罪,罪犯,罪行,背后,能够,行为,行刑,表明,表现,表示,被告人,被害人,裁决,裁定,西汉,要求,规定,规范,解释,认为,认定,认真,讯问,记者,记载,证据,证明,诉讼,说,过程,近年来,这一,这是,这种,进一步,进入,进步,进行,连续,适用,造成,遂,道,道德,部分,重大,重要,量刑,问题,限制,需要,非常,非法
0,1,0,4,2,0,1,2,1,3,1,4,2,0,1,1,0,0,10,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,3,1,1,1,0,0,2,2,0,1,0,2,1,0,5,0,0,0,2,0,2,4,1,0,4,1,2,1,3,1,0,0,2,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,8,0,3,0,3,2,5,0,0,2,4,1,0,0,0,0,1,1,0,5,1,0,0,3,0,0,1,0,1,1,0,6,0,1,0,7,0,0,0,0,1,3,1,2,0,0,3,0,0,1,1,0,1,0,0,0,1,1,5,2,0,4,32,2,0,0,0,5,0,3,1,3,0,0,0,0,0,0,3,0,0,1,0,1,5,2,0,0,2,4,0,0,3,0,0,1,0,6,0,2,0,1,4,0,0,1,0,0,9,0,13,0,5,0,0,0,1,3,0,2,1,0,6,1,2,1,6,2,5,3,0,2,0,0,0,4,0,0,0,0,2,2,2,1,1,1,6,0,0,1,0,5,0,3,0,10,5,0,0,2,1,1,0,0,1,1,1,0,2,1,1,0,0,1,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,3,1,9,0,0,0,1,0,0,1,5,3,1,1,9,0,13,3,1,11,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0
0,0,0,1,3,1,0,0,0,0,5,1,2,0,0,1,8,2,4,2,11,0,1,1,0,0,0,0,2,2,1,2,0,1,0,3,0,1,2,0,0,0,3,2,0,0,0,0,0,2,0,1,1,2,2,6,0,0,0,0,0,2,0,0,1,0,1,1,4,1,3,4,0,4,0,0,0,0,0,4,0,1,1,2,0,3,1,0,0,1,2,1,0,0,2,1,1,0,2,0,0,3,0,0,1,0,0,0,13,0,0,0,1,0,0,5,0,1,0,2,3,4,8,0,0,0,1,0,0,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,6,1,0,0,0,0,4,0,1,3,0,1,1,2,1,6,4,0,0,0,1,6,0,12,0,2,1,0,0,0,1,1,0,1,3,0,12,0,0,0,0,0,0,4,1,0,3,0,0,1,4,2,0,0,1,8,1,0,1,0,0,1,0,0,1,1,4,1,0,1,1,14,2,0,0,0,2,27,2,2,0,0,4,0,0,3,1,17,5,2,2,1,1,0,2,6,2,0,0,1,0,0,0,0,1,4,1,0,1,10,1,0,1,3,0,0,0,0,3,0,1,1,0,1,1,0,0,2,5,0,0,2,0,1,0,0,3,2,1,0,0,3,7,2,1,4,3,0,0,0,0,2,0,2,5,2,2,3,0,1,0,1,2,6,0,12,0,0,0,0,2,0,3,0,15,0,1,1,0
1,0,0,2,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,1,3,0,0,0,2,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,15,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,2,0,0,0,2,1,0,2,0,1,2,0,0,0,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,4,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,2,0,0,0,1,4,0,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4,8,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,1,0,3,2,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,2,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1
0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,4,1,1,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,1,3,0,0,0,1,19,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,4,1,1,2,1,3,0,0,1,5,0,1,0,0,1,3,1,0,0,6,0,0,3,1,5,1,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,1,0,1,1,2,2,1,2,1,1,0,0,0,1,2,4,2,0,3,0,0,0,3,0,0,0,4,0,2,1,0,1,0,1,0,1,0,1,0,1,1,0,0,4,0,1,0,1,1,0,1,0,0,1,0,0,2,4,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,1,2,3,1,2,1,0,0,0,4,0,0,2,2,6,0,0,2,1,0,0,2,2,0,0,1,2,3,0,0,0,0,5,5,0,4,1,3,0,0,4,2,0,7,4,0,0,2,2,0,1,2,3,0,1,3,0,1,0,4,1,0,0,0,0,0,17,0,2,1,2,5,6,1,1,0,2,0,2,2,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,4,1,0,0,2,0,1,2,0,0,4,2,0,0,0,0,4,1,0,1,0,0,0,2,0,0,1,0,6,1,0,1,0,0,1,0,0,0,3,4,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
