问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
558551860,1,到处挖坑蒋玉成,男,103265,https://www.zhihu.com/people/CommanderYCJiangS117,北京亦庄营业部-快递员岗,2722269431,2022-10-19 18:42:55,82,847,58,因为不光是中国，全世界几乎所有的主要人口大国都保留了死刑，包括日本和美国这样的人口超过1亿的发达国家。
558551860,1,嗽喇,男,4175,https://www.zhihu.com/people/jia-shao-xun,平凡人一枚,2717860337,2022-10-16 14:08:32,770,4575,370,因为中国人的观念很朴素呀。根本不必列废死的各种好处，国人的观点是：这人是个人渣，所以他得死。但反过来想，国人的观点错哪了？
558551860,1,轻工制造兔,男,5768,https://www.zhihu.com/people/qing-gong-zhi-zao-tu,设计师,2719113171,2022-10-17 12:30:11,120,1775,129,为什么74亿人有60亿都支持死刑，而剩下的少数人谈及死刑，一般总持反对态度？这些人要不要反思一下？
558551860,1,Zpuzzle,男,417892,https://www.zhihu.com/people/zhang-zhu-12,,2721310071,2022-10-19 06:00:15,5,2134,215,拿法国来说，当年法国废除死刑的时候，民调显示的废死支持率差不多不到20%——但就是在这种情况下，法国废除了死刑。从人类生活的普遍理念来说，杀人偿命就是一个最朴素的逻辑。当然，对于那些有过特殊经历或者接受过一些教育的人来讲，他们可能出于哲学的、法律的等等观念而认为废除死刑是有必要的。但从全社会来看，即便这些人持有这种观点是没有任何私心的，他们的整体比例在社会中也不会太高。也就是说，如果真按照一人一票的逻辑去决定是否废死，几乎没有任何一个国家能废除死刑——绝大多数时候，人都是年龄越大，越见识到了社会的险恶和人性的阴暗面，越会觉得死刑是震慑犯罪的一个必不可少的手段。当然，在死刑的适用范围上，不同的人的观点肯定不一致。有些人会觉得杀人就该偿命，有些人会觉得只有杀了很多人才可以被判死刑。但这个争论的核心是适用范围，而不是死刑应不应该存在。而在另一个层面上说，世界上大多数国家的“废死”，恰恰也是观察“民主”运作的一个切口——从各国废死提案的通过，可以看到一个不符合大多数人观念的法律，是如何通过政党之间的互相配合，从而最终成为现实的。
558551860,1,文册,未知,219437,https://www.zhihu.com/people/wen-dao-wang-86,四大名著是个筐，什么都能往里装,2742052368,2022-11-03 02:33:26,22,410,38,宋江杀了阎婆惜，知县却将与此事毫不相关的唐牛儿打了一顿并刺配五百里外。回到内衙知县夫人有点儿同情唐牛儿，说道：“这个唐牛儿真是可怜，什么坏事儿都没干就受了这么大的罪，这辈子算是毁了。”知县却说：“我也是没有办法，只能这样。”夫人不解：“没有办法？大堂上老爷您一句话就能放了他，为何说没有办法？”知县解释道：“宋押司和咱家关系这么好，我哪里狠得下心让他偿命呢？既然不能杀宋江，就要找人平息一下苦主的怨恨。唐牛儿既然赶上了就算他倒霉，我心里也不好受。”夫人感慨道：“老爷您的心真善，要是都能多找些人平摊罪过，能挽救多少宋押司这样的好人呀！”
558551860,2,行木,未知,195,https://www.zhihu.com/people/mo-xiao-wu-62-58,灵感突如其来，情感汹涌而去,2710354368,2022-11-12 06:16:57,894,9147,897,我不仅反对废除死刑，我还建议恢复凌迟和腰斩呢。补丁:也怪我没说清楚，我的意思是——死刑分级。目前对死刑的态度是慎重处理人性化处理，已经进化到听音乐注射了。我当然是支持的，毕竟最大限度的保证了减少残忍场面，也确实对执行者更文明了。但是问题依旧是有——如何对待“更高级”重犯呢？他们往往秉持着杀一个是死，杀两个是赚，多杀多赚的态度屡屡犯案，因为处理办法仅有一个死刑。反正都是死，还不爽一爽？那死刑的分级很有必要了。在法官判定死刑的一刻开始，随着犯人的反人类行为逐渐升级而进行升级，保留戴罪立功，但是戴罪立功仅减酷刑不减死刑。活罪可逃，死罪难免。当然，对于某些知友说的“没收作案工具”和某贩子问题我觉得还是应该交给专业的人判定。刑罚升不升级也轮不到普通人管，我的提议仅仅是针对已判死刑的升级。而死刑慎重是重中之重，我认为这不应该更改的。我希望——所有确定死刑的罪犯都能体面的听着音乐的舒缓的人道的死去。而所谓酷刑，不过是一种仅存在于书本上，实际上根本没人能够触碰到的书面法律。我认为社会文明与否不是靠有没有死刑来决定的，而是靠有没有人能犯死刑来决定的。最后的最后至于被抓错被错判应该左转出门提问——如何正确精准进行法律执行。而不是扯那套“希望你被误抓也能这么说”的话。
558551860,2,知乎十次转生者,未知,1217,https://www.zhihu.com/people/mmm-81-65-85,讲应然不讲实然，其本质是宗教；讲实然不讲应然，其本质是保皇。,2723589380,2022-11-04 13:53:21,69,661,90,因为这些法哲就是扯JB蛋，都是从唯心主义出发的独断论。什么jb公平正义，法律从来不追求这些东西，这都是糊弄傻子的。要理解法律，首先要理解人类社会。人类社会是怎么来的？是猴子，确切的说是南方古猿的社会进化来的。那么猴子的社会哪来的？适应群居生活演化出来的。猴子社会存在的目的是什么？对于猴子来说，猴子的社会存在的目的就是为了确保这个集体有序起来，使得每个猴子的生存得到便利。那么，法律是什么？法律就是文字化的社会规范社会秩序。所以法律最根本的目的是什么？是为了确保社会的有序运转。那么，怎么判断在社会规范文字化的过程中做的好不好？看法律在运行中的状态，是否激起了不该反抗的人来反抗这部法律（秩序），以及是否放过了不该放过的人来让他们破坏这部法律（秩序）。前者叫公平，而后者叫正义。所以才有法律追求公平正义的假象。公平正义是法律的高级追求，而不是法律的本质追求，法律的本质追求是秩序，因此法律的本质属性是统治阶级意志的体现。所以，在扯什么程序正义的时候，忽视程序本身的目的去追求正义就是扯犊子。程序本身的目的是什么？用现代社会的话说，叫维持经济活动的秩序。那么回到死刑的话题，为什么废死派人人喊打？因为废死派破坏的就是经济活动的秩序。从经济秩序上讲，一个本应该判死刑的人，必定严重的挑战了社会秩序。那么，为了维持社会秩序，此人必须接受社会公民底线之下的惩罚。因为从经济秩序上讲，一个罪犯如果依旧活的比正常公民还好，那就相当于变相鼓励正常公民模仿该罪犯的犯罪行为。这个惩罚，可以是让他速死。但也可以不是让他速死，诸如挖煤挖矿之类的苦力劳动都可以。但核心就是，让他遭受非同一般的苦难。也许有人会说，失去自由本身就是一种苦难，我只能说你问过你家狗没有？你以为作为动物的人和狗，在物理和生理意义上的苦难的感受上会有太大差别吗？再说了，你连地球都没走出过，地球这间牢房有让你感受到苦难吗？很多人，会把社会对罪犯生的气，理解为一种同态复仇。我只能说，方向正确，但是太浅了。为什么会有同态复仇？因为一个良好运作的社会，就需要给予其公民应得的回报，并给予犯人应得的处罚，而得到回报的公民是无论如何不应该在社会上（包括经济和政治）居于罪犯之下的。复仇复的那个仇、抒发的那个恨，不仅仅是因为罪犯做了什么，而是因为罪犯做了这些却还在社会上活的比较好。假设一个犯了灭门案的凶手，在行凶之后因为意外被机器缓慢而痛苦的打碎，你觉得家属会觉得苍天有眼大仇得报，还是执着于复仇尚未完成感到懊恼不已？经验来讲，应该是前者吧？所以，废死派人人喊打的原因不仅仅是因为废死，更是因为废死派把废死和善待罪犯打包出售，还起了个令人恶心的名字——人道主义。一个罪犯，如果活得比最差的公民要好，那公民不骂你才有鬼了。
558551860,2,zhuzhu,未知,26,https://www.zhihu.com/people/zhuzhu-53-52,,2710573042,2022-10-11 07:06:08,27,2261,185,1）其他国家做了，就一定是正确的么？2）有些人不配为人，不配活着。
558551860,2,潘敬华,男,538,https://www.zhihu.com/people/pan-jinghua,3D打印行业，互联网云平台、切片软件、电子硬件、机械结构全栈工程师，心理学略懂,2717530348,2022-10-16 08:39:41,510,5798,419,支持死刑的人想的是：我万一被人杀了，法律一定要帮我杀了他给我报仇。反对死刑的人想的是：我万一杀了人，法律也必须给我一条活路。两者都说的有些道理，就看你屁股坐哪里。是更容易杀人还是被人杀。
558551860,2,星辰大海,男,1058,https://www.zhihu.com/people/chen-yi-lai-79,真左：发展生产力放第一位。,2715603851,2022-10-14 15:48:18,277,2214,157,支持的人可以立个遗嘱：被任何人以任何方式杀害，自己的家属必须同意签署谅解书，给犯人一块免死的金牌；若家属拒绝，则在法律上失去继承你的财产的资格。为了万无一失，还可以去做个遗嘱公证。然后，随身携带，被杀害前交给他。以上，不难吧。
