问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容,tokenized_content,sentiment_probs,sentiment_label,TF-IDF Score,Document Index,Top Terms,topic_prob1,topic_prob2,topic_prob3,topic_prob4,topic_prob5,max_topic,cluster_label,named_entities,aspect_candidates
654901594,1,苇名弦一郎,男,1736,https://www.zhihu.com/people/voidli-pian,我也有必须完成之事,3487191191,2024-05-04 10:05:52,896,7000,260,因为里面充满了反差。现实中年轻的傻男孩，游戏里却是通天代两年赚了50万，却每天吃10块的外卖头像说想吃麦当劳，实际上黄焖鸡都是素的网名叫胖猫，身高178体重才120每天高强度接单，只为了两年见两次的感情被女友榨干后丢弃的人，实际上有爱他的姐姐妹妹对爱情无望乃至自杀的人，和朋友客人聊天总是可爱又有趣一边是无私付出是男主，一边是全力吸血的女主男主死前没有死缠烂打，没有责备，甚至主动转账6w6，还有一束780的花（780是他们认识的日子）每一个反差都深深触碰了网友，也震撼了网友，没想到世上居然有这么不要命，不清醒的情种，也有女主这样一味作恶，一味吸血的坏人。并且胖猫的聊天记录也广为流传，与别人的聊天中他总是积极，相信爱情，但结果却是女主一句对不起，谢谢，就结束了这段感情，最终使他葬身江底。,"['里面', '充满', '反差', '现实', '中', '年轻', '傻', '男孩', '游戏', '却是', '通天', '代', '两年', '赚', '50', '万', '每天', '吃', '10', '块', '外卖', '头像', '说', '想', '吃', '麦当劳', '实际上', '黄焖', '鸡', '素', '网', '名叫', '胖猫', '身高', '178', '体重', '120', '每天', '高强度', '接单', '两年', '见', '两次', '感情', '女友', '榨干后', '丢弃', '实际上', '爱', '姐姐', '妹妹', '爱情', '无望', '自杀', '朋友', '客人', '聊天', '总是', '可爱', '有趣', '一边', '无私', '付出', '男主', '一边', '全力', '吸血', '女主', '男主死', '前', '没有', '死缠烂打', '没有', '责备', '主动', '转账', '6w6', '一束', '780', '花', '780', '认识', '日子', '反差', '深深', '触碰', '网友', '震撼', '网友', '没想到', '世上', '居然', '不要命', '不', '清醒', '情种', '女主', '一味', '作恶', '一味', '吸血', '坏人', '胖猫', '聊天记录', '广为流传', '聊天', '中', '总是', '积极', '相信', '爱情', '却是', '女主', '一句', '对不起', '谢谢', '结束', '这段', '感情', '最终', '葬身', '江底']","[0.32860055565834045, 0.33409497141838074, 0.3373044729232788]",Neutral,9.007570803876556,0,"['女主', '吸血', '一边', '聊天', '一味']",0.9927621826488384,0.0018186639461217,0.0018068177322964,0.0018177970976845,0.0017945385750589,1,2,"[('中年轻', 'GPE'), ('两年', 'DATE'), ('50万', 'DATE'), ('10块', 'MONEY'), ('麦当劳', 'ORG'), ('黄焖鸡', 'PERSON'), ('178', 'CARDINAL'), ('120', 'CARDINAL'), ('两年', 'DATE'), ('两', 'CARDINAL'), ('6', 'CARDINAL'), ('6', 'CARDINAL'), ('780', 'CARDINAL'), ('780', 'CARDINAL')]","['family', 'social_status']"
654901594,1,老衲,未知,102,https://www.zhihu.com/people/xuan-zi-zi-74,无为是有为，有为亦是无为。,3487144557,2024-05-04 09:05:42,90,1021,43,以下仅展示wbcs言论：逝者已逝，生者如斯。男性必须学会睁眼看世界，不止江西。,"['以下', '仅', '展示', 'wbcs', '言论', '逝者', '已逝', '生者', '如斯', '男性', '必须', '学会', '睁', '眼看', '世界', '不止', '江西']","[0.3321394622325897, 0.3329848051071167, 0.3348757326602936]",Neutral,3.6895175286428654,1,"['已逝', '展示', '不止', '仅', '睁']",0.2898812940058343,0.0137019873070017,0.6689686324131361,0.0139115921476519,0.0135364941263758,3,0,"[('江西', 'GPE')]",['others']
654901594,1,星沉,男,399,https://www.zhihu.com/people/xing-chen-38-5-52,国家一级保护废物,3488806390,2024-05-08 10:41:26,159,1356,52,我的抖音平时都是猫猫狗狗+游戏+修驴蹄子从昨晚开始，清一色的洋妞，真开眼了评论区有人急了,"['抖音', '平时', '猫猫', '狗狗', '游戏', '修驴', '蹄子', '昨晚', '清一色', '洋妞', '真', '开眼', '评论', '区', '有人', '急']","[0.3320956528186798, 0.33491531014442444, 0.332988977432251]",Negative,2.782042707511554,2,"['急', '区', '平时', '抖音', '评论']",0.0226391658713748,0.0234538883962184,0.9084048549045958,0.0228247906746833,0.0226773001531276,3,0,"[('昨晚', 'TIME'), ('清一色', 'ORG')]",['others']
654901594,1,观海,未知,344,https://www.zhihu.com/people/jsjjsujie,第四代情绪稳定的贫农,3488272346,2024-05-05 13:22:27,18,861,28,积怨已久。谭竹不是一个人，而是一个群体。,"['积怨', '久', '谭竹', '群体']","[0.33600497245788574, 0.3370310068130493, 0.32696405053138733]",Negative,1.946183350702691,3,"['积怨', '久', '群体', '谭竹', '龟']",0.0403959785904201,0.0400024568886969,0.0409468647915437,0.2522222526968574,0.6264324470324819,5,1,[],['others']
654901594,1,之乎者也,女,4528,https://www.zhihu.com/people/zhi-hu-zhe-ye-10-1-5,微信公众号 鲸落大海,3489216039,2024-05-06 10:54:20,99,884,29,前两天，有一对结婚的，男方给女方订做了黄金手捧花，女朋友就给我看视频，说她也想要我说:这真的假的？女朋友直接生气了：这肯定真的啊，你怎么一遇到这种事就逃避后来，胖猫的事情在网上发酵......我把这事跟我女朋友说女朋友说，这事是假的假的，网上的事咱别信，那个所谓的姐姐都开始带货了,"['前两天', '一对', '结婚', '男方', '女方', '订做', '黄金', '手捧花', '女朋友', '视频', '说', '想要', '说', '真的假', '女朋友', '直接', '生气', '肯定', '真的', '遇到', '这种', '事', '逃避', '后来', '胖猫', '事情', '网上', '发酵', '这事', '女朋友', '说', '女朋友', '说', '这事', '假', '假', '网上', '事', '咱别', '信', '所谓', '姐姐', '带货']","[0.33071234822273254, 0.33871886134147644, 0.330568790435791]",Negative,4.6873044636251615,4,"['女朋友', '说', '事', '网上', '这']",0.0052460264446294,0.0052526965993137,0.0053191286842788,0.0052115832510364,0.9789705650207414,5,1,"[('前两天', 'DATE'), ('黄金手', 'PERSON')]",['family']
654901594,2,知之为知之,未知,284,https://www.zhihu.com/people/zhi-zhi-wei-zhi-zhi-37-36,医生，ENTP。,3486857430,2024-05-04 03:24:39,147,1046,65,他代表了，20岁出头的男人，很多都会碰到的一段难堪经历吧。回顾一下，我觉得三观变化最快的，就是刚毕业那几年……直接接触社会后，课本灌输的三观崩塌了。相当于等级归零，每个人都要重新攒生存经验值。他21，他前女友27，看着只有差6岁，但社会经历的差异，应该是云泥之别，所以轻易被拿捏住了。要是30和37，心理年龄绝对不会有这么大差别。,"['代表', '20', '岁', '出头', '男人', '很多', '会', '碰到', '一段', '难堪', '经历', '回顾', '一下', '觉得', '三观', '变化', '最快', '刚', '毕业', '几年', '直接', '接触', '社会', '课本', '灌输', '三观', '崩塌', '相当于', '等级', '归零', '每个', '重新', '攒', '生存', '经验值', '21', '前女友', '27', '看着', '差', '岁', '社会', '经历', '差异', '应该', '云泥之别', '轻易', '拿捏', '住', '30', '37', '心理', '年龄', '绝对', '不会', '差别']","[0.33086588978767395, 0.34107139706611633, 0.3280627131462097]",Negative,6.245809086843798,5,"['三观', '经历', '灌输', '差别', '回顾']",0.0044569400741472,0.9822809483845968,0.0044269144950344,0.0044140444449792,0.0044211526012422,2,3,"[('20岁', 'DATE'), ('那几年', 'DATE'), ('21', 'CARDINAL'), ('27', 'CARDINAL'), ('差6岁', 'DATE'), ('30和37', 'DATE')]","['family', 'social_status']"
654901594,2,王芷汵,未知,1507,https://www.zhihu.com/people/wang-shu-98-82,不再是学校里的学生,3487661811,2024-05-05 09:21:42,695,5927,209,丧尽天良的事有热度不应该吗？性别对调一下，一个老男人把年轻女孩50万身家骗光，害得女孩跳桥了。你信不信这老男人一抛头露面就会有仗义的路人去削他。怎么现在因为加害者是女性，有热度就很奇怪了？难道这事天经地义不值得有热度吗？不如好好怀疑下，到底是什么东西躲在背后，在推行男性应该为情感和婚姻倾家荡产这种价值观？,"['丧尽天良', '事', '热度', '不', '应该', '性别', '对调', '一下', '老', '男人', '年轻', '女孩', '50', '万', '身家', '骗光', '害', '女孩', '跳桥', '信不信', '这老', '男人', '抛头露面', '会', '仗义', '路', '削', '现在', '加害者', '女性', '热度', '奇怪', '难道', '事', '天经地义', '不', '值得', '热度', '好好', '怀疑', '到底', '东西', '躲', '背后', '推行', '男性', '应该', '情感', '婚姻', '倾家荡产', '这种', '价值观']","[0.32945963740348816, 0.34020355343818665, 0.3303368091583252]",Negative,5.421660712802526,6,"['热度', '女孩', '加害者', '害', '应该']",0.0050166788789133,0.0050379974148934,0.4012085207697526,0.0050000679920506,0.5837367349443899,5,1,"[('50万', 'DATE')]",['family']
654901594,2,常我有常,男,13,https://www.zhihu.com/people/bing-you-f-60,你做了哪些事，足以证明你并未虚度人生?,3487254193,2024-05-04 11:24:20,98,1116,41,若干年以后一位女性质问男生怎么现在找不到深情愿意付出而又专一的男人?男生回答：你说的那些人我认识，他们永远的在江水中飘荡了。,"['若干年', '以后', '一位', '女性', '质问', '男生', '现在', '找', '不到', '深情', '愿意', '付出', '专一', '男人', '男生', '回答', '说', '认识', '永远', '江水', '中', '飘荡']","[0.3335970938205719, 0.33569514751434326, 0.33070775866508484]",Negative,4.056861995480737,7,"['男生', '江水', '专一', '深情', '一位']",0.2793035706691529,0.6899243423712479,0.0103667583785247,0.010112513809295,0.0102928147717793,2,3,"[('若干年', 'DATE'), ('江水', 'GPE')]",['others']
654901594,2,国家战略储备猪,未知,825,https://www.zhihu.com/people/e-yu-51-55,,3489914380,2024-05-07 04:15:52,104,1319,36,昨天晚上我老婆抱着三岁的煞笔儿子哭起来了，说:“现在的女人都好坏啊，你儿子这么乖，又这么傻，将来碰上坏女人怎么办啊？到时候他又不听我们的。”我：～～～,"['昨天晚上', '老婆', '抱', '三岁', '煞笔', '儿子', '哭', '起来', '说', '现在', '女人', '好坏', '儿子', '乖', '傻', '将来', '碰上', '坏', '女人', '到时候', '不', '听']","[0.3307829797267914, 0.3361835479736328, 0.3330335021018982]",Negative,3.4454398058383497,8,"['儿子', '到时候', '女人', '将来', '抱']",0.0119611660977247,0.4823061313053768,0.4820518597368687,0.0118109034014717,0.0118699394585578,2,3,"[('昨天晚上', 'TIME'), ('三岁', 'DATE')]",['family']
654901594,2,申权认真生活,男,82734,https://www.zhihu.com/people/SGB_GOV,2024年度新编答主,3488492813,2024-05-05 18:00:11,60,794,50,一个胖猫死了，无数个胖猫醒了。一个贪猪（谭竹）被攻击了，无数个贪猪被吓到了。不夸张的说，中国任何一个城市任何一个住人的地方画一个半径一公里的圆，这个圆里面可能都有不少于3个胖猫和3个贪猪。谁没见过几个舔狗几个捞女？这不是个例，这是一个现象。过两天这个事情继续扩散，应该会有很多跟胖猫相同经历的人会站出来反思。有些醒过来的人可能正在调查确认自己舔的对象是不是贪猪，等确认完了过几天可能就又开始爆了。我觉得这个事情才刚开始发酵呢。至少得一两个月吧。,"['胖猫', '死', '无数个', '胖猫', '醒', '贪猪', '谭竹', '攻击', '无数个', '贪猪', '不', '夸张', '说', '中国', '城市', '住', '地方', '画', '半径', '公里', '圆', '圆', '里面', '可能', '不少', '胖猫', '贪猪', '没见', '几个', '舔', '狗', '几个', '捞', '女', '个例', '这是', '现象', '两天', '事情', '继续', '扩散', '应该', '会', '很多', '胖猫', '相同', '经历', '人会', '站', '反思', '醒过来', '可能', '正在', '调查', '确认', '舔', '对象', '是不是', '贪猪', '确认', '完', '几天', '可能', '爆', '觉得', '事情', '才刚', '发酵', '至少', '一两个', '月']","[0.3308160901069641, 0.34109067916870117, 0.3280932605266571]",Negative,6.526819810599632,9,"['确认', '可能', '几个', '舔', '没见']",0.0035706233117543,0.003585127061173,0.9856460657088104,0.0036122130352291,0.003585970883033,3,0,"[('中国', 'GPE'), ('一公里', 'QUANTITY'), ('3', 'CARDINAL'), ('3', 'CARDINAL'), ('过两天', 'DATE'), ('过几天', 'DATE'), ('一两个月', 'DATE')]",['social_status']
