问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
654901594,1,苇名弦一郎,男,1736,https://www.zhihu.com/people/voidli-pian,我也有必须完成之事,3487191191,2024-05-04 10:05:52,896,7000,260,因为里面充满了反差。现实中年轻的傻男孩，游戏里却是通天代两年赚了50万，却每天吃10块的外卖头像说想吃麦当劳，实际上黄焖鸡都是素的网名叫胖猫，身高178体重才120每天高强度接单，只为了两年见两次的感情被女友榨干后丢弃的人，实际上有爱他的姐姐妹妹对爱情无望乃至自杀的人，和朋友客人聊天总是可爱又有趣一边是无私付出是男主，一边是全力吸血的女主男主死前没有死缠烂打，没有责备，甚至主动转账6w6，还有一束780的花（780是他们认识的日子）每一个反差都深深触碰了网友，也震撼了网友，没想到世上居然有这么不要命，不清醒的情种，也有女主这样一味作恶，一味吸血的坏人。并且胖猫的聊天记录也广为流传，与别人的聊天中他总是积极，相信爱情，但结果却是女主一句对不起，谢谢，就结束了这段感情，最终使他葬身江底。
654901594,1,老衲,未知,102,https://www.zhihu.com/people/xuan-zi-zi-74,无为是有为，有为亦是无为。,3487144557,2024-05-04 09:05:42,90,1021,43,以下仅展示WBCS言论：逝者已逝，生者如斯。男性必须学会睁眼看世界，不止江西。
654901594,1,星沉,男,399,https://www.zhihu.com/people/xing-chen-38-5-52,国家一级保护废物,3488806390,2024-05-08 10:41:26,159,1356,52,我的抖音平时都是猫猫狗狗+游戏+修驴蹄子从昨晚开始，清一色的洋妞，真开眼了评论区有人急了
654901594,1,观海,未知,344,https://www.zhihu.com/people/jsjjsujie,第四代情绪稳定的贫农,3488272346,2024-05-05 13:22:27,18,861,28,积怨已久。谭竹不是一个人，而是一个群体。
654901594,1,之乎者也,女,4528,https://www.zhihu.com/people/zhi-hu-zhe-ye-10-1-5,微信公众号 鲸落大海,3489216039,2024-05-06 10:54:20,99,884,29,前两天，有一对结婚的，男方给女方订做了黄金手捧花，女朋友就给我看视频，说她也想要我说:这真的假的？女朋友直接生气了：这肯定真的啊，你怎么一遇到这种事就逃避后来，胖猫的事情在网上发酵......我把这事跟我女朋友说女朋友说，这事是假的假的，网上的事咱别信，那个所谓的姐姐都开始带货了
654901594,2,知之为知之,未知,284,https://www.zhihu.com/people/zhi-zhi-wei-zhi-zhi-37-36,医生，ENTP。,3486857430,2024-05-04 03:24:39,147,1046,65,他代表了，20岁出头的男人，很多都会碰到的一段难堪经历吧。回顾一下，我觉得三观变化最快的，就是刚毕业那几年……直接接触社会后，课本灌输的三观崩塌了。相当于等级归零，每个人都要重新攒生存经验值。他21，他前女友27，看着只有差6岁，但社会经历的差异，应该是云泥之别，所以轻易被拿捏住了。要是30和37，心理年龄绝对不会有这么大差别。
654901594,2,王芷汵,未知,1507,https://www.zhihu.com/people/wang-shu-98-82,不再是学校里的学生,3487661811,2024-05-05 09:21:42,695,5927,209,丧尽天良的事有热度不应该吗？性别对调一下，一个老男人把年轻女孩50万身家骗光，害得女孩跳桥了。你信不信这老男人一抛头露面就会有仗义的路人去削他。怎么现在因为加害者是女性，有热度就很奇怪了？难道这事天经地义不值得有热度吗？不如好好怀疑下，到底是什么东西躲在背后，在推行男性应该为情感和婚姻倾家荡产这种价值观？
654901594,2,常我有常,男,13,https://www.zhihu.com/people/bing-you-f-60,你做了哪些事，足以证明你并未虚度人生?,3487254193,2024-05-04 11:24:20,98,1116,41,若干年以后一位女性质问男生怎么现在找不到深情愿意付出而又专一的男人?男生回答：你说的那些人我认识，他们永远的在江水中飘荡了。
654901594,2,国家战略储备猪,未知,825,https://www.zhihu.com/people/e-yu-51-55,,3489914380,2024-05-07 04:15:52,104,1319,36,昨天晚上我老婆抱着三岁的煞笔儿子哭起来了，说:“现在的女人都好坏啊，你儿子这么乖，又这么傻，将来碰上坏女人怎么办啊？到时候他又不听我们的。”我：～～～
654901594,2,申权认真生活,男,82734,https://www.zhihu.com/people/SGB_GOV,2024年度新编答主,3488492813,2024-05-05 18:00:11,60,794,50,一个胖猫死了，无数个胖猫醒了。一个贪猪（谭竹）被攻击了，无数个贪猪被吓到了。不夸张的说，中国任何一个城市任何一个住人的地方画一个半径一公里的圆，这个圆里面可能都有不少于3个胖猫和3个贪猪。谁没见过几个舔狗几个捞女？这不是个例，这是一个现象。过两天这个事情继续扩散，应该会有很多跟胖猫相同经历的人会站出来反思。有些醒过来的人可能正在调查确认自己舔的对象是不是贪猪，等确认完了过几天可能就又开始爆了。我觉得这个事情才刚开始发酵呢。至少得一两个月吧。
