问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
319090387,1,美浩始,男,61465,https://www.zhihu.com/people/chen-zi-hao-18,学渣，ACG爱好者，历史爱好者,1310437618,2020-06-30 10:03:03,233,1115,156,现在中国LGBTQ群体所面临的的问题，根源在于“世界变化的太快了”以及互联网的普及。LGBTQ运动一直有两个平行世界，一个是群体内部以及政治学术上的，一个是最普通沉默民众对其接受的程度，而后一个往往会被许多LGBTQ群体所忽略。于是我们看到，由于互联网中国LGBQ+群体在政治上学术理论上已经和欧美舆论接轨，但是身边中国的社会氛围没有追上。其实中国社会氛围是以完全正常的速度前进的，但是奈何欧美搞这个提前了N年，造成了脱节。中国大陆目前正在基本上沿着欧美，尤其是日本的曾经走过的道路前进，这个分几个阶段。①法律上的去罪化，不再在法律中把同性恋视为犯罪。法律允许变性手术，并且承认变性后的性别等等。但此时，普通民众往往在生活和道德上并不能接受。②以明星，和高颜值cp这种娱乐化的符号出现，沉默的民众慢慢习惯他们的存在，虽然这个时候他们往往只是因为颜值而喜欢，并不能接受身边的普通LGBT群体。③部分不需要颜值的名人类别开始出现LGBT，比如音乐家，大商人，科学家等等，甚至可以是“小丑”式搞笑明显。他们本质是还是上层而不是普通人。但是这个时候，大多数沉默的民众开始慢慢习惯长得不帅不漂亮的存在。至少反感已经开始慢慢褪去。④在立法上允许同性婚姻，开始有更多保护措施，全民或真心或出于正确而接受。与此同时，回头审视②③，会认为其娱乐化LGBT群体，不再被推崇。LGBT群体开始变得就是普通人，你身边有这类人不会有任何决定不对的地方，不歧视，也不重视。是的，无论政治口号吹得再响亮，民众的转变无疑是必须经过这个过程的，这无疑需要时间的。中国本身已经走过了①，在②的时候。大家知道之前的舞蹈家金星。金星当时在初期的互联网是被非常严重的批击，现实中被人嚼舌根更是遍及全国。近几年，因为金星的真诚直率，在娱乐圈塑造的“三观正”形象，已经顺利“洗白”在娱乐圈成为了正面人物。张国荣当初也因为性取向在香港受到了极大的压力，在大陆互联网兴起后也被群起嘲笑过一段时间，但是随后其形象随着时间生化变成了许多人全网纪念的对象，尽管其中还有不少当年嚼舌根的人。网络上帅气的漂亮的同性cp也已经被主流互联网群体，尤其是一般城市年轻人所接受，之前北京那对女同情侣也收获的也是祝福居多。拿我们的邻居日本来看，日本“男大姐”是作为“丑角”出现的。但是随着时间的推移，这种“丑角”也逐渐变成了普通人，其中优秀者比如著名节目月曜夜未央的主持人松子，甚至成立被广受喜爱的名人，尽管松子的体态颜值完全合“漂亮”搭不上边。如果以现在欧美主流群体的声音来看，这种娱乐化和小丑化的行为，毫无疑问会受到批评，认为是不尊重。但是这就是我之前说过“脱节”的地方，因为让普通民众分几步做到让LGBTQ+融入生活，这是极其关键的一部，如果始终不能跨越，那么群众生活在没有LGBT的世界里，是永远不可能接受他们的。中国的LGBTQ群体通过互联网站在了第④部，但是中国目前的社会发展只走到了第②部，于是这种脱节使得大量的群体内的人产生了不适。因为大家都惨尚可以忍受，但是如果看到别人走到了④必然会产生反感，这也是当初欧美的同性恋群体尚可以政治倾向较多样化，而国内群体内却所谓“恨国党”多的原因。顺带一提，台湾地区直接跳④是一种政治行为，甚至有很大的作秀成分，岛内反对意见并不小，并不适合作为借鉴。所以回归问题本身，LGBT会不会被民众所接受？我认为还是会的，当我们能在网上看到几个公开出柜，颜值身材普通，但是网友开始较少以其性取向和认知而嘲笑的时候，就代表这一天快了。个人认为，还有10-20年左右吧。我这么乐观主要还是在于我们不需要真的让全国人民都接受，我们只需要一两个城市氛围比较包容就完全可以。哪怕欧美想当国家的农村都不可能接受，更遑论中国全国了。北上广，或者一些准一线城市如成都杭州等能达到差不多氛围，LGBTQ群体的出路其实就已经能够追上今天世界发达国家主流了。所以我对LGBT在中国还是表示前途比较光明的，也期待被主流社会所接纳的那一天到来。
319090387,1,波萨达斯星人,未知,48618,https://www.zhihu.com/people/wa-xi-li-liang-zan-si-ji,东亚人,1313215811,2020-07-01 13:47:06,39,521,97,我觉得非常不乐观。无论是日式女权—LGBT运动的发展，还是这个问题下的很多答案，都反映出了一个同样的问题：受害者本人主体性的缺失。在这种主体性丧失的前提下迎来的所谓“接纳”和“解放”，又真的能造福广大而又具体的每一个性少数个体吗？“八千湘女上天山”这种个体沦为宏大叙事燃料的悲剧，抑或是新自由主义那种只欢迎光鲜亮丽的模范LGBT成功人士的模式，就真的是我们所能要求的极限吗？首先我们分析下这个问题下的很多答案，跟知乎涉及女权和LGBT权利的问题一样，下面是一片非当事者以一种居高临下的态度，张牙舞爪地大声宣扬“我要求”，“我需要”，甚至是“我命令”。而在这种宣扬中，当事者们到底需要什么，到底要求什么，却被彻彻底底地抹杀和无视了。仿佛性少数的解放并不需要性少数本人的声音，只需要“先锋党”与“进步人士”们优雅地在网络授聚在一起，制定一份他们满足的大纲再施舍给性少数就大功告成了。这与沙特埃阿拉伯主办女权大会结果与会者全是男人又有什么区别？当然这种意识并不是突然出现的空中楼阁。我在其他问题下也回答过：中国社会对于先锋党通过一次翻天覆地的革命打包解决一切社会问题。这一曾经成功的路径过于依赖，一切都靠先锋党，一切都依赖先锋党，一切也都服务于先锋党。这种思维模式也渗透到了很多自认为先进的回答者的脑中，使他们产生了自己便是先锋党的化身这一错觉。我们且不论先锋党模式是对是错，但先锋党的模式中存在的巨大隐患也在这些自封先锋党的回答中反映了出来：先锋党与具体个人或者某一团体的互动是单向的。只存在先锋党为你带来什么，先锋党需要你配合什么。却不存在你向先锋党要求什么，让先锋党为你解决什么。当然我们都背过三个代表重要思想以及人大代表在中国政治权力框架中的作用，也都知道这些思想和理论在实际中到底被执行到了哪一步。再就是第二点，新左翼退潮后日式女权—LGBT运动中所反映出来的问题。我之所以要以日本为样本，是因为日本与中国同为东亚，中国也即将步日本的后尘进入以新自由主义为代表的资本主义晚期社会。台湾的情况我不太了解就不提了。新自由主义社会中的LGBT的最主要问题便是社会关怀的缺失、少数成功个人作为样本大获全胜与更广大的底层边缘人群被彻底忽视。新自由主义女权的最典型代表人物便是现任东京都知事小池百合子，小池百合子在男人垄断的日本政坛里夺得了首都行政区总督的重任，一度被视为日本第一任女首相候选。与此同时又有着（据日媒所说的）时尚外观（她年轻的时候好像确实很漂亮），被视为既符合日式女性刻板印象——必须为了让男人赏心悦目而好好打扮，又精明能干的女强人。然而这种人真的能代表打着两三份短工还要照顾孩子的单亲妈妈，为了偿还学生贷款而卖淫当外围的女大学生，仅仅因为性别女就被大学拒收被调任到无关岗位的杰出女做题家吗？小池百合子这种模范成功者的出现和树立，不仅无益于这些更加广大更加具体的个人的解放，反而让社会多了一个攻击和她们的借口。同样的现象在LGBT群体中也颇为常见。可爱的女装大佬被疯狂点赞追捧成为全学年的吉祥物，身高180皮肤黝黑骨骼粗大的跨性别者穿个中性和服上学都要被人在推特上骂辣眼恶心（注意推特是个公开环境，所有人都能看到，不是你家日记本）。有人提到了マツコ・デラックス这个总是在综艺节目里出现的男大姐，然而祂之所以能被接受是因为祂真的做到了日本综艺的顶点，在新宿二町目和大版北新地那上千家LGBT酒吧与夜店里彻夜工作的男大姐、药娘、女装子与跨性别们就没有这种幸运了。还有人认为只要这种群体里的成功角色被认同了，社会也就会很快认同LGBT全体。若真是这么顺利的话，为什么西方还要在LGBT已经得到相当认可的今天爆发出酷儿运动呢？在这种新自由主义的框架下，群体的底层与具体的个人的声音和需求同样被围绕着成功者的媒体，被资本给抹杀无视和淹没了。他们反而会来指责你为什么不成功，为什么不奋斗，为什么不努力。在这种无情无知的指责中，社会整体的结构性歧视与冷漠被转嫁为个体的所谓“懒惰”，并使得当事者更加难以发声。这不是危言耸听，而是在日本正在发生的事实。距离マツコ・デラックス出道已经过去20年了，当日本的政客们提到LGBT结婚时，赞成派的理由竟然是搞笑的“为了在2020年奥运会到来之际展现出我国与世界接轨的一面”。而所谓的结婚也不过是过家家发个小本本哄骗当事人而已，其实根本不具备和异性恋结婚证同等的法律效力，因为同性结婚在日本依然违宪。事实已经证明，这种期待群体的成功人士扭转社会整体印象从而指望主流社会“施舍”给LGBT团体权利的做法哪怕不是失败的，也是低效的。更何况小池百合子、撒切尔夫人之流一边打着女强人人设一边和保守势力同流合污，为了自己的成功而放纵歧视剥削和公共支出的削减的这些成功者是很有可能通过加害他人来维护自己的成功，反而成了反动势力的忠实棋子。那些家长党，海外党，出柜成功党也可以扪心自问一下：整个LGBT团体真的经受得住这种新自由主义的拷问吗？这种拷问之下你又能比现在过得幸福多少？LGBT在中国被接纳必将是一个漫长而痛苦的道路，甚至缺乏包括台湾在内的自他国家和地区作为榜样学习经验。这绝不是几个进步人士在网上施舍一份纲领，或者看着外国成功经验畅想一番就能达成的。我希望每一个当事者都能通过不加害他人的方式实现自己的幸福，夺回本就属于自己的主体性。我也希望每一位非当事者认认真真地去倾听身边的具体的个人的声音，尊重祂的行动和选择，将祂当作一个有主体性的个人去对待。我更希望凌驾在整个社会之上的结构性问题能够得到彻底的改善，但我现在能做的，也只有期望。
319090387,1,持续低熵,未知,359370,https://www.zhihu.com/people/chang-shou-92,五百年的因，五千年的果。最后的斗争，最初的承诺。,1312139751,2020-07-01 04:02:48,433,1834,306,中国没有强大的宗教保守势力，本来LGBT的前景是不错的，只需要等90后及更晚的一代人掌握权力即可，这些人应该不太会因为道德感和性取向不同而强力压制作为个人的LGBT。然而如果没有理论突破的话，由于政治原因，LGBT团体很难被接受，反而有可能大大连累LGBT人士的个人幸福。中国未来势必会总结美国急速衰落的教训（其实现在已经开始），就像以前总结苏联解体教训一样。其中一条会是：白左风格的身份政治（包括但不限于LGBT团体）严重分裂社会。如果LGBT团体不能坚决同西方做思想切割，前景十分暗淡。尤其诡谲的是，可能不出十年，中国舆论场就会形成“中国社会比西方社会的文明发展程度更高，西方尤其美国更像是蛮夷”的主流共识。到那时，除了某些科技方向或者艺术特长方向之外，“中国同西方接轨”会成为被反对甚至被嘲笑的想法，就如今日“大陆同湾湾港港接轨”的提法一样。而那时中国的LGBT权益和尊严恐怕依然明显比不上西方，会有很多LGBT人士依然羡慕西方从而想学习西方。如此，则LGBT人士必须有很高远的大局观，才能跳脱令人泄气的现状，立足国情面向未来，做好LGBT的理论构建。简言之，LGBT团体不投共不行，不坚决批判西方不行，简单投共批西方而不给LGBT人士希望也不行。LGBT的问题比女权难。女权至少有左翼女权这个跟党走闹革命的基本盘可以回归，老大哥也不太可能抛下女性权益提升这一份责任。LGBT在共和国历史上是无根的，路走错了恐怕就完全迷失了，也没有人会来拉你一把的。
319090387,1,Parker Sept,男,855,https://www.zhihu.com/people/tan-ren-rui-sept,少数派无报告,1310591134,2020-06-30 15:03:52,54,397,56,腻乎有的人就是闭门造车得可以，建议不要一面靠比烂说什么“我这已经很开明了”，一面说着把LGBT团体钦点成搞群X这种p话。“我已经很开明了”这种话术从来就是权力关系上级消解下级质疑的方式，无非就是要挟你“你为啥不按我的规矩来？其他人规矩更反人类呢！”顺带一堆不反LGBTQ只反LGBTQ团体的平等壬更是申必，也不知道见过几个相关团体就可以大谈自己的群众政治观叻，团体自然不全都是正常的，然而也用不着你来一棒子打死式地规制。少数派要抱团本来就是群体政治的一环，这都理解不了还说什么“那我们异性恋是不是也要搞异性恋团体啊？”，请问这是装的什么外宾？你要是觉得异性恋受到广泛的歧视你自然可以组建异性恋团体啊，好像在Ihr Land有谁真的在实质压迫或者有能力反对你的异性恋身份一样。性少数互助团体我见的多了，有几个真变成群X团体的？这bias真是莫名其妙。要按你这种举例瞥视淆，我大可以一边说这阵子two sessions力主鼓动离婚冷静期，一边拿这几个月多少杀妻案做对比，然后是不是我就可以钦点异性恋在消解传统家庭价值上比LGBTQ厉害多了？你看都特么把人消没了！无论Macht是如何从立法到具体司法民政实践来呼吁家庭价值的回归的，社会本身就是没赋予目前每个人 --- 或者说目前唯一被承认合法婚姻关系的异性恋组建家庭的责任，那么LGBTQ中例如同性恋是怎么被强加了要找到另一半的“社会”责任的？这责任你发明的？你又要替LGBTQ表态了？哦，原来 --- 一个异性恋，即便不组建亲密关系，也可以是被社会平等对待的异性恋；但一个LGBTQ，就非要组建亲密关系才可以是不被社会差别对待的LGBTQ，我懂了，我逐渐理解一切，非常平等，好一个开明！
319090387,1,Mr.To,未知,182,https://www.zhihu.com/people/mr-to,,1238440177,2020-05-22 06:08:29,58,194,31,  有些人真就偷换概念，以不可能所有人都承认同一价值观直接推出LGBT不被承认是具有普适性，甩完这一巴掌接着给一颗糖：大意就是你有违伦常，但只要默不作声，别人也能睁一眼闭一眼，何乐不为？  老猎强老帝国了哇，瓜分国家的时候，说反正落后就要挨打，不如割地赔款，我也退上一步，咱们两开花。白人奴役黑人的时候，告诉他们你们生来下贱，撒旦后裔，为人奴畜，不如卖身在我这还能换个几文傍身钱。封建压迫女性的时候，教育她们三从四德、无才是德，嫁个夫婿才是这辈子唯一的出路。现在轮到性少数平权，你们又说lgbtq权益本就无从谈起，安分守己默默无闻，自是有你一口饭吃的。怎的？我还要感谢你这通情达理，落落大方的风范？  可笑至极 ️
319090387,2,Ako的红,男,48199,https://www.zhihu.com/people/akode-hong,,1310751789,2020-06-30 12:48:37,67,396,63,我希望你们在说不能的时候直接一点说因为当下绝大多数人处在要么讨厌，要么偏见，要么装模作样说“别人怎么样都可以，但是我孩子绝对不能”的模式之中，别画一个只要你们devoted to country，就会越来越好，这套话已经在114个国家被对不同群体说过514遍了。创造了毒气的犹太人，为德二出生入死服役的犹太人，到了德三也没好果汁，即使是德二也并没有因为他们的付出而对普通犹太人如何保护。很直接的说，短时间甚至两三代都不可能对于说着anti是主要问题，现实问题是哪个群体都会有一部分对抗的，而绝大多数少数群体又哪有那么多anti以及大众评判中的不好真的是来自于anti嘛?当一个普通的主体去犯罪，去anti，人们只会批判其教育家庭。对于少数群体呢?你的不同就变成指摘。要我看，赛里斯的LGBT问题，一方面是家庭与保守，一方面是对于差异的排斥，还有一个是对于不完全在机制内的团体联合的恐惧。anti这个事情本来也少，主要也只是给上面三个做论证所以，如果不移除血统迷恋在内保守土壤，不移除排异与对结社的不安，效忠也只是忍气吞声不去达豪和躲在灰黑色，即使当你做出成就，你的少数身份也会要么被移除要么被大众反感我就很喜欢这种直接说害怕联结报团的，痛快（）
319090387,2,Umikaze,女,1383,https://www.zhihu.com/people/ya-yue-lin,不常看乎，小心误触关注,1309613140,2020-06-29 16:59:28,6,45,11,我不知道有些人搞阅读理解纠结个题目什么劲团体：就是指一群人，这里只是单纯想表达有相同标签的那一群人，那一个&#34;团体&#34;。说得好像中国现在有，或者能有大的性少数团体一样广泛接受：就是广泛接受啊，没说全部或者必须接受啊这题目还不够明白吗？就是问LGBT等性少数人群以后会不会在社会中逐渐正常化、以及少被歧视(比如就业、就学)但我是不太乐观的..民族主义抬头+媒体尿性+好事不出门坏事传千里+lgbt以及平权会被当成西方舶来品一并被抵制.....尽量好好学习去大城市吧..可以的话跑路吧....
319090387,2,匿名用户,男,0,https://www.zhihu.com/people/,,1311089462,2020-06-30 12:08:43,66,294,53,这问题下面的回答还不够明显吗？实际情况就是难如登天，老一辈还抱持着各种偏见，而年轻一代中的某些人如你所见，把lgbt和欧美意识形态绑定在一起，趁国科大事件热门之时借题发挥。假装客观的知乎尚且如此，微博贴吧等地更不用说，反zzzq和反白左的口号喊得飞起，也没见几个人去法拉盛迎接硕帝登基。哦，我忘了，中文互联网已经重新定义了“白左”，奥古斯都李这种时代眼屎早就没人记得了，一切解释权归键政壬民！gzjy们骂“中国人没素质”的时候，大家还理得清逻辑，知道个体不能代表整体，知道“其他国家的人也一样”。而到了lgbt这里，墙外势力、政治正确就成了老生常谈的话题，哪怕问题描述里没有任何要素，也要紧跟时事批判一番。我们终将变成我们所讨厌的样子。有些人要lgbt当普通人，搞得好像只要lgbt保持平常心老实本分过活，大家就会自然而然地接受他们似的。这让我想起知乎键政圈曾经有一位说话又红又专，动不动就把别人打成远邪党的爱国人士，如果她没有被某些渣滓人肉的话，永远也不会有人知道她是一名trans，因为这是西方的“政治正确”，她是从不屑于提及的。这是个极端的例子，实际上有很多普通的例子，他们最常见的身份就是上班族和学生，大多老实本分，从不要求谁盯着自己，也不参加什么颠覆活动，也不会闲着没事翻墙去推特发表反人类的言论。偶尔在自己冷清的个人账号上发发牢骚，在小圈子里互相扶持。然而一旦出圈还得提防主流舆论说脏了他们的眼睛。但更多的是苟且的例子：迫于家庭压力选择压抑自己过上“正常人的生活”，他们的婚姻没有幸福；或者逃离家庭远走高飞，亲子之间恩断义绝；或者被送到某某机构“矫正”完毕，回归社会；或者纵身一跃，粉身碎骨，然后身边的人当无事发生，只怨怪ta太脆弱…lgbt人群别说声张了，能保护自己不受侵害就已经是谢天谢地。我说的只是中国吗？其实欧美也一样，口号为什么喊得那么高，因为现实太过沉重。或许铺天盖地的宣传让很多人误认为欧美已经是lgbt天堂了，而数据统计足以击碎任何幻想。尤其是美国这样一个清教徒伦理传统深厚的国度，你在纽约可以办场lgbt的游行，换到盐湖城呢？那可是你喝杯啤酒都得像做贼一样的地方。我知道某些人又要捂着眼睛，“别给我看这些”“你们这是卖惨”，正恰好说明了，放不下的人不是lgbt，而是你们。如果有机会，他们当然愿意普通，决定他们普不普通的，不是性少数，而是沉默的大多数。
319090387,2,华夏英灵,男,93803,https://www.zhihu.com/people/hua-xia-ying-ling,历史、硬件、政治和二次元爱好者,1312112791,2020-07-01 03:44:54,22,116,19,先说结论——首先，不要说团体，说群体。LGBT也本不需要什么团体。其次，也不需要被多么广泛接受，只要一定程度上被接受，足以顺利的过自己想要的生活即可。但你要说方式？我只能说唯有时间。我能理解大家的焦急，毕竟性别焦虑非常之痛苦，人之一生又短暂。但是，如果你想要像西方那样以主动出击的方式去宣扬，乃至“逼迫”最广泛的人群去立刻选边站来实现“改观”，结果可能是适得其反。我们是世俗化的国家，不像西方主流宗教的原教旨中直接明摆着的对性少数群体有敌意，虽然西方宗教界在这一点上也在改变，但毕竟是个隐患。我们制度也没有任何对性少数群体有敌意的明文——当然你说同性恋结婚之类的，那是没有，但婚姻制度本身更侧重经济性上的权利义务，它可没阻止爱情。我们这里的性少数群体面对的问题，在于软性的“传统”和“共识”。这个所谓的传统压力，又其实不仅仅针对性少数，而是更大的一个范畴——即传统婚姻和传宗接代的问题。如果你和很多Trans接触过，就会知道，总体而言，在社会谋生方面，固然存在一定歧视，但说到底恰饭生存不是大的难题——从事各行各业各种性质工作的都有，这个群体远比很多人想象的庞大，很多人也处于出柜/半出柜状态，并没有饿死。同时，即使在小地方，他们其实往往也可以得到一些同龄顺性别朋友的理解，能有三两顺性别的朋友能接纳（毕竟任何人也不能奢望自己被一切人接纳），再加上同类的交流，其实这个社交圈已经挺可观了——委实说，比很多死宅大的多了。至于被人说闲话，当然有，但说闲话这事，不是LGBT特有的，任何人都会被因为任何原因而被无聊的外人说闲话，据我所知，很多trans也不在乎这一点——“别人聒噪，与我何干？”他们最大的、难以摆脱的问题，是在父母这里。而父母的压力又主要在于传统婚姻和传宗接代上。即使一个顺性别者，如果不结婚不生育，也同样面临这种传统的压力。据我所知，很多Trans的父母一旦在这两个问题上想通了、看开了，也往往不再反对和阻止自己的孩子追求自己的形态了，而这些trans在此之后很多都解决了焦虑，获得了自在，可见问题不（主要）在社会，而在家人。也有一些，据我所知，他们对父母隐瞒了自己的真实想法，去进行了结婚乃至生育（他们往往是trans+同性恋，爱的也是“异性”，所以可以表面看起来正常结婚，当然，对伴侣是事先坦白的），一旦结婚生育主线任务完成，他们再对自己进行形态转变，父母也就没说什么。所以LGBT什么时候才能顺利的生活呢？得等到传统婚姻和传宗接代，不再被视为如若不做就是“大罪”的时候。
319090387,2,Meursault,女,958,https://www.zhihu.com/people/yu-jia-liang-92,一般通过左翼青年,1311731754,2020-08-14 19:50:23,21,67,15,重写了一下，之前写的实在是太烂了这个问题包含着一个错误的前提，lgbtq群体如果是要被接受，那么在被接受之前必然是处于一种被排斥的自然状态中，可是真的存在这种自然状态吗，lgbtq就是先天性的不受欢迎?自然状态从来就不存在过，人类永远存在于社会之中分割线，下面是旧的中国的LGBT群体本身就是中国居民LGBT本身只是一个身份，一个人会有很多种身份，也许你家门口的烧烤摊店主就是gay，也许你吃饭的食堂大妈就是les，并不存在一个外在于“中国公民”的神秘的lgbt团体，lgbt就在生活的周围，这个群体并不是凭空冒出来的。并不存在一个“正常人中国居民”对“外在于其的不正常的lgbt群体”的接受过程，恰好相反，社会对lgbt的接纳更多来自于这个群体本身的斗争，而不是“正常人”的赐予，欧美国家以前经常有“同志骄傲游行”，更有著名的“石墙革命”，权利永远是通过斗争得来的，而不是被赋予的。
