问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
636907409,1,谁还不曾是只猫,未知,4829,https://www.zhihu.com/people/shui-huan-bu-ceng-shi-zhi-mao,一些女孩总以为她们比男人更了解男人,3345858502,2024-01-01 09:27:21,162,8626,1054,很喜欢张雪峰的那句话：选工作，不要看优点，要看缺点能不能接受什么意思呢？这个行业高薪，但是 你不一定高薪。这个行业996，那你 一定是996。
636907409,1,开心,男,25226,https://www.zhihu.com/people/kan-xin-94,[互联网观察员，敏感滑梯触碰者],3358530649,2024-01-11 10:47:15,148,6774,683,举个例子，以前农民工工资是按年、按季度结算的，比如一年10万块，或者每个季度发2-3万块；到后来拖欠工资的包工头子太多了，工人就要求必须按月结，不然就不干了，即使按月结工资要比以往少1-2千。再后来，按月结，也常有包工头子快发工资就欠薪跑路。于是工人们被坑出经验了，就要求日结，宁可工资再少点，就要现钱，今天下班包工头子不发钱，找理由拖工资，当前晚上工人就拽住包工头不让走，否则明天大家都不来了。说白了就是当社会信用体系严重透支崩坏之后，再画大饼扯什么未来多么美好，狗都不信。问题的答案用骆驼祥子的一生可以完美诠释。年轻人发现的早，少走了几十年弯路。建议多关注小人物个体生活，少拉大旗扯虎皮搞宏大叙事。
636907409,1,快乐的丑牛,男,1666,https://www.zhihu.com/people/kuai-le-de-chou-niu,半百青年，职场老兵。,3344779377,2023-12-31 06:20:55,249,4684,742,我活了五十岁才知道，对自己好点胜过一切。真羡慕现在的年轻人，这么早就明白了这个道理。
636907409,1,大锤八十,未知,2380,https://www.zhihu.com/people/2667-72,,3348091219,2024-01-03 06:48:03,260,5457,1178,我也招过不少年轻人了。宁愿钱少也不想操劳的年轻人，确实是一年比一年多了。不是因为懒惰，也不是因为抠门，主要是信息爆炸的时代，后一代比前一代强太多了。我们除了先卡住了几个身位，又随着资产价格起飞，彻底拉开了资产财富水平。除此之外，我们比下一代的强不了多少。学识比不上，视野比不上，信息收集能力更也比不上。要说吃苦奋斗，那更是扯淡。那些发展不错的初创企业年轻创业者觉都不睡，能卷死你。有些人只看到了，年轻人抱着手机刷抖音，抱着电脑登Steam，觉得信息时代带来的只有垃圾信息。但其实事物都是两面的，天量的垃圾信息洪流，重点从来就不在“垃圾”，而是“天量”。这一代年轻人，是真正生活在信息时代的人，他们总有一部分人能从洪流之中，“屎里淘金”。所以回到正题，为什么年轻人宁愿少赚，也不想太累。因为真的骗不下去了我们的传统三板斧几乎全部失效了传统文化里的，强化人身依附的道德约束——破产了。近代以来的，强调奉献与付出的意识XT——改开了。同时代的，奋斗创富的神话——皮带断了。如果倒退30年，我们可以靠着血统带来的信息差，继续忽悠下年轻人。这是我们做过的，并且做的很成功。三板斧下去，砍中三刀，这个年轻人的剩余价值基本就已经进我口袋了。砍中俩刀，也会是个稳定的员工。哪怕只砍中一刀，这个年轻人至少不会当刺头。但是越来越难了，现在的年轻人，20年接触的信息，比你200年的都多。你看他20多岁，面容稚嫩，但是除了没对象，这些货几乎什么都懂。即便自己不懂，社交媒体也会有很多闲人，义务给他上课。一刀都砍不上，当年轻人面对“挫折”，他几乎不能从传统文化、意识XT、狼性奋斗里获得一丝安慰。每一次挫折，都会逼着他们思考工作的价值。结果就是，很多工作都经不住思考，它对你没价值，唯一的价值就是老板发财。同时，一些真的有价值的工作。哪怕是道德价值。你都会发现，年轻人展现出了不逊于祖辈的奋斗精神，同时还有着傲视全球的专业素养。你几乎不需要三板斧的激励，他们会为了一个小房子，或者自我实现，拼了命的开卷。时代一直在进步，有些人只想获得时代的美好，却不愿意承担进步的代价。年轻人在做着本该塔做的事。他们用自己的前途，在帮助这个国家淘汰落后的“产能”，淘汰落后的“生产关系”。
636907409,1,暮的猫,男,162,https://www.zhihu.com/people/mu-de-mao,游戏策划咸鱼/开发咸鱼/好吧我就是个咸鱼,3344699981,2023-12-31 04:54:22,135,2616,299,河神：年轻的工人哟，你找到的是这份月薪一万五、996的工作，还是这份月薪四千、965双休的工作呢？年轻人：都不是我的，我找不到工作。河神：你很诚实，我把这两份工作都送给你吧！于是年轻人获得了一份月薪四千、996的工作。
636907409,2,KIMI CHAIN,男,1775,https://www.zhihu.com/people/kimi-chain,卖艺中年,3373754280,2024-01-23 18:31:42,49,10689,1259,主持人采访德国人愿不愿意996，开始税后5K，被采访人说不，又加价到10K，还是说不，并说了下面一段话。
636907409,2,海与海蛇,男,121675,https://www.zhihu.com/people/kuaijihaishe,代号戒烟,3359028321,2024-01-11 18:55:34,64,2257,254,我老丈人骂小舅子的原话：逢年过节都不回来，你在国务院开会啊？
636907409,2,阿里嘎多,男,185,https://www.zhihu.com/people/dong-dong-41-54,,3340585342,2023-12-27 11:37:35,118,2077,306,因为现在的资本家不光白天剥削，晚上也剥削是真的会死人的
636907409,2,杨先生,男,65,https://www.zhihu.com/people/yang-xian-sheng-70-85,站在山头看虎斗，趴在桥头看水流,3344813573,2023-12-31 07:01:00,22,1449,252,因为年轻人已经参悟出：一生中舒服的日子是有限的，不舒服的日子是无限的
636907409,2,木木,未知,137,https://www.zhihu.com/people/mu-mu-85-35-65,,3344576890,2023-12-31 02:36:33,87,1947,299,也就中国，这么勤奋的年轻人还要被批评去别的地方看看吧比我们好的国家，他们的年轻人在干啥去比我们差的，非洲，印度看看他们的年轻人在干啥人家的都没中国的年轻人累，凭啥中国的年轻人还要被批评
