文件名,索引号,主题分类,发文机关,成文日期,发布日期,发文字号,标题,来源,公文种类,内容
10年来西安市有8.7万余人登记成为器官捐献志愿者.docx,,,,,,,,,,10年来西安市有8.7万余人登记成为器官捐献志愿者 字体： 小 中 大 分享到： 3月14日上午，由陕西省人体器官捐献管理中心、西安市红十字会主办，新城区红十字会、新城区直属机关工委承办的2024年陕西省“人体器官捐献知识进基层”首场活动走进新城区。来自新城区机关事业单位、医疗卫生机构、街办及社区工作人员和红十字会员、志愿者代表等150余人参加活动。 活动现场，来自陕西省人体器官捐献管理中心、陕西省红十字眼库、陕西省红十字遗体捐献中心、空军军医大学第一附属医院人体器官获取组织的工作人员，分别从《红十字知识及陕西省人体器官捐献工作概况》《眼角膜捐献知识》《遗体捐献知识》《器官捐献知识》等方面进行了讲解，就新修订的《人体器官捐献和移植条例》进行了宣讲解读，弘扬了“人道、博爱、奉献”的红十字精神，传播“自愿无偿、高尚利他”的人体器官捐献理念。器官移植受者代表张先生讲述了他患病后从绝望中重获新生的经历，表达了对器官捐献者的感激之情，并决定用实际行动支持和宣传器官捐献。 人体器官捐献是挽救器官衰竭患者生命、服务医学发展、展现人性光辉、传递人间大爱、体现社会进步文明的高尚事业，是一项自愿、无偿的社会公益事业，需要全社会的支持和参与。据悉，10年来西安市共有8.7万余人登记成为人体器官捐献志愿者，也涌现出不少感人至深的捐献事迹，“生命接力·爱在西安”成为了西安这座城市最温暖的名片。（记者 高瑞） 【责任编辑:詹乐游 】
2023年“人体器官捐献协调员综合能力建设师资研修班”在昆明开班.docx,,,,,,,,,,2023年“人体器官捐献协调员综合能力建设师资研修班”在昆明开班 字体： 小 中 大 分享到： 21日，由中国人体器官捐献管理中心主办、云南省红十字会承办的2023年“人体器官捐献协调员综合能力建设师资研修班”在昆明开班。中国人体器官捐献管理中心业务部门负责人及工作人员，云南省人体器官捐献管理中心干部职工和授课专家，来自全国17个省（区、市）人体器官捐献管理机构主要负责人、主要获取组织负责人及协调员骨干约90人参加开班仪式。 本次研修班邀请了多位国内人体器官捐献领域的专家进行指导宣讲。课程精选人体器官捐献工作所涉及的12个模块，综合运用理论宣讲、情景模拟、互动讨论、实践操作、现场参访等方式授课，培训内容系统全面、紧贴实际。 参加人体器官捐献协调员综合能力建设师资研修班开班仪式全体人员合影（10月21日摄）。云南省红十字会 供图 云南省红十字会党组书记、常务副会长彭耀民表示，此次人体器官捐献协调员综合能力建设师资研修班，将进一步规范人体器官捐献协调员培训师资队伍，提升红十字会工作者和参与人体器官捐献工作者的专业素养和服务能力，使大家学习和掌握更多、更深层次的医学、伦理学、法学、社会学等相关知识，从而促进协调员队伍职业素养的提高，不断扩大公益宣传效益，为合力推动中国人体器官捐献移植事业健康持续发展奠定基础。 培训现场（10月21日摄）。云南省红十字会 供图 中国人体器官捐献管理中心主任侯峰忠表示，本次研修班秉承“广泛学习借鉴、积极开拓创新、紧抓薄弱环节”的理念，通过增强工作推动力和引领力，培训建立一支协调员综合能力建设师资队伍，推动省级建立协调员综合能力培训基地，持续提升协调员业务素质和能力，逐步建立职业化的协调员队伍，为器官捐献事业健康发展提供强力支撑。（完） 【责任编辑:徐华陵】
2024全国人体器官捐献缅怀纪念活动在杭举办.docx,,,,,,,2024全国人体器官捐献缅怀纪念活动在杭举办,,,2024全国人体器官捐献缅怀纪念活动在杭举办 字体： 小 中 大 分享到： 原标题：2024全国人体器官捐献缅怀纪念活动在杭举办 生命礼赞 荣耀回家 30日下午，由中国红十字会总会、国家卫生健康委员会指导，中国人体器官捐献管理中心主办的“生命礼赞·荣耀回家”2024全国人体器官捐献缅怀纪念活动，在杭州钱江陵园内的浙江省红十字“生命礼敬园”举行。 本次活动旨在缅怀纪念人体器官（遗体、组织）捐献的先行者，弘扬捐献者无私奉献的大爱精神，倡导和推动公民逝世后捐献器官（遗体、组织）的新风尚。 近年来，全社会对人体器官捐献的理解和认识不断深化，参与支持捐献工作的社会新风尚正在形成。从2010年全国器官捐献年捐献34例，到2023年全国实现年捐献6454例，累计实现器官捐献逾5.1万例。志愿登记人数从2010年的1087人，到现在超过670万人，捐献理念逐步得到社会的广泛认同和支持。 当天，纪念园内鲜花簇拥、翠柏含肃，纪念碑上镌刻着浙江省自1987年杨育根、徐敬常老师开始，至2024年2月29日总共5126位捐献者的姓名，他们用一种特别的方式为自己的人生谢幕。 活动中，全体人员向捐献者默哀致敬，并向捐献者纪念碑敬献花篮。红十字志愿者饱含深情地诵读《祭捐献者文》。浙江大学医学生代表现场重温医学生誓词。活动现场还为6位遗体捐献者举行了“荣耀回家”安葬仪式。 医学生、志愿者、人体器官捐献协调员、移植受者、捐献者家属等100余人参加活动。活动最后，在场人员向生态安葬的捐献者及所有的捐献者献花。（记者 王晨辉 通讯员 曹燕芳） 【责任编辑:宋越】
260余名器官衰竭患者重获新生！昆医大附一院完成100例器官捐献.docx,,,,,,,,,,260余名器官衰竭患者重获新生！昆医大附一院完成100例器官捐献 字体： 小 中 大 分享到： 10月21日，昆明医科大学第一附属医院成功完成1例公民逝世后的器官捐献，这是该院自2015年开展器官捐献工作以来完成的第100例，至此，累计捐献260余个大器官，让260余名器官衰竭患者重获新生。 当天，器官捐献者传递的生命礼物，使得终末期器官功能衰竭患者的生命得到了挽救。 10月8日，来自昭通市镇雄县38岁的患者龙华（化名），突发意识丧失，入院后诊断为脑血管意外、脑出血，经全力救治，最终因病情危重，不幸离世。 10月21日7时许，龙华被从重症监护病房推出，亲属们与医务人员和他作了最后的道别。 随后，手术室内，红十字会器官捐献协调员与医务人员一同向捐献者默哀致敬。 龙华的母亲说，在他逝世后能够将有用的器官捐献给需要的人，是对他年轻生命最大的尊重。龙华捐献的肝脏、肾脏在昆明医大附一院完成了一台移植和两台肾移植手术。捐献的心脏由120急救车紧急送往昆明市延安医院完成了一台心脏移植手术。 昆医大附一院高度重视人体器官捐献与移植工作，近年来陆续制定完善的工作流程，会同多部门建立了协同工作制度，为规范开展医院器官捐献与移植工作奠定了坚实基础。 “向器官捐献者本人及家属表达崇高的敬意和感谢。”昆医大附一院器官移植科主任黄汉飞表示，器官移植是挽救终末期器官功能衰竭患者生命的唯一有效手段，也是医学科技创新的前沿。医院相关科室的医务人员始终坚持“生命至上，人民至上”的理念，奋力守护生命希望，用心为人民撑起健康保护伞，努力推动我省器官捐献与移植事业高质量发展。（记者 陈鑫龙) 【责任编辑:刘东】
“生命接力百城行动”相约徐州.docx,,,,,,,,徐州医科大学附属医院,,“生命接力百城行动”相约徐州 来源：徐州医科大学附属医院 2024 05/30 5月29日，中国器官移植发展基金会主办的“生命接力百城行动”相约徐州暨全国首家“施予受”主题地铁站揭幕仪式在江苏徐州举行，这也是百城行动在江苏的首站。徐州地铁1号线“徐医附院站”成为全国首家以宣传器官捐献理念为主题的地铁站。 中国器官移植发展基金会理事长赵洪涛、徐州医科大学党委常委、副校长、徐州医科大学附属医院党委书记吕凌分别致辞。徐州市人民政府副市长刘景、徐州医科大学党委书记祝木伟，中国工程院王学浩院士，徐州地铁集团党委书记、董事长朱明勇，国家卫生健康委员会及徐州市相关单位领导、嘉宾出席并共同揭牌。徐州医科大学附属医院院长金培生主持。 徐州市是具有近1000万人口的地级城市，、徐州医科大学附属医院2023年门急诊工作量近280万人次、徐州地铁1号线“徐医附院站”拥有2万人次/天的客流量，便于开展器官捐献宣传工作。 为此，由中国器官移植发展基金会、徐州医科大学附属医院、徐州地铁集团有限公司联合共建，打造了全国首家“施予受”主题地铁站，旨在进一步推动全社会了解并接受人体器官捐献理念，形成关注、支持和参与器官捐献工作的社会新风尚。主题地铁站分为“党建引领，薪火传递”“党建引领，大爱善行”“党建引领，健康守护”“党建引领，生命接力”等四个分区，构建器官捐献光荣的宣传场景。同时，徐医附院还延伸服务范围，在主题地铁站设置自助服务终端，方便市民就医，更好地服务百姓，奉献社会。 据悉，2020年，中国器官移植发展基金会授牌徐医附院成为“施予受”器官捐献志愿服务合作基地；2021年6月，徐医附院获批肾脏移植执业资质，为苏北地区唯一具备脏器移植资质的医院，目前已累计开展肾脏移植手术106例，为百余名患者带去了生命的希望；2023年，徐医附院成为“全国卫生健康行业器官捐献青年志愿服务首批成员”；2024年4月，徐医附院荣获“全国人体器官捐献系统性多学科协作网（SMDC）示范基地”。（裴争争） 【责任编辑：沙佳仪】
《关于建立人体捐献器官转运绿色通道的通知》解读.docx,,,,,2016-05-06,,,卫生计生委网站,,《关于建立人体捐献器官转运绿色通道的通知》解读 2016-05-06 14:30 来源： 卫生计生委网站 字号：默认 大 超大|打印| 近日，国家卫生计生委、公安部、交通运输部、中国民用航空局、中国铁路总公司、中国红十字会总会联合印发了《关于建立人体捐献器官转运绿色通道的通知》，要求建立人体捐献器官转运绿色通道，明确各方职责，规范和畅通转运流程，形成制度性安排，提高转运效率，保障转运安全，减少因运输原因造成的器官浪费，保障人体捐献器官接受者的生命健康安全。现将有关要点解读如下： 一、起草背景 器官移植是人类医学发展的巨大成就，挽救了无数终末期疾病患者的生命，而器官移植顺利实施的前提条件是有可供移植的器官。目前，我国已初步建立了符合国情的由中国红十字会作为第三方参与的人体器官捐献体系，并初见成效。截至2016年5月5日，全国累计实现公民逝世后器官捐献7101例，捐献大器官19417个。其中，2015年完成捐献2766例，捐献大器官7785个，超过2013年与2014年捐献数量总和。我国年捐献数量已位居亚洲第1位、世界第3位。2013年9月，我国正式启用了中国人体器官分配与共享计算机系统（以下简称COTRS）分配捐献器官。COTRS严格遵循器官分配政策，以技术手段最大限度的排除和监控人为干预，以患者病情紧急度和供受者匹配程度等国际公认的客观医学指标对患者进行排序，实现自动化的器官匹配与共享，确保器官分配的科学、公平、公正。全国联网使得器官利用率大大提高，在可接受的冷缺血时间范围内，13.1%的器官实现了跨省患者匹配及共享。共享相对频繁的为儿童捐献器官，其全国共享比例达22.6%，使得全国各地更多的器官功能衰竭儿童患者得到有效救治。 随着我国器官捐献工作的进一步推进，捐献器官全国匹配共享的数量及比例将会越来越多。尽管器官的共享有利于实现公平高效的器官分配，但是受制于现在的医学技术，可移植器官均有可以耐受的最大缺血时间，例如肝脏耐受冷缺血时间上限为12小时，超过此时间受者原发性移植肝无功能、移植肝功能延迟恢复、胆道缺血性损伤等并发症发生率显著增高，受者术后生存率明显降低。肾脏耐受冷缺血时间上限约为24小时，心脏耐受冷缺血时间上限约为6-8小时，肺脏耐受冷缺血时间上限约为8-12小时。即使在可耐受的时间内，缺血时间越长，器官的质量及器官接受者的预后越差。所以器官运输是一场生命与时间的赛跑。 受限于我国广袤的国土面积及社会经济发展水平，同时为降低患者器官移植总花费，我国大多采用由医务人员携带，通过民航班机、高速铁路及公路运输的形式转运捐献器官。转运过程中面临较多不确定因素，转运时间较长，对器官质量造成不利影响，因转运问题导致的器官浪费也时有发生。为此，有关部门曾多次协调，为人体捐献器官转运提供保障，部分全国人大代表和政协委员也提出建立人体器官转运的建议和提案。建立人体捐献器官转运绿色通道，缩短器官运输时间、提高移植器官质量、减少器官浪费，已成为医务工作者、终末期器官衰竭病人和广大人民群众的热切期盼。 二、起草经过 自我国公民逝世后器官捐献工作开展以来，国家卫生计生委、公安部、交通运输部、中国民用航空局、中国铁路总公司和中国红十字会总会已开展多种形式的业务合作，共同保障人体捐献器官转运工作，形成了一定的工作机制和基础。如2007年深圳航空公司与有关单位签署了《关于深航运送国际标准化人体捐献角膜和器官的协议》、南方航空公司等民航运输企业也多次为器官转运提供支持与帮助。随着我国人体器官捐献工作的不断深入，跨区域、长距离器官转运案例逐渐增多并成为常态工作的背景下，原有工作机制不能满足实际需要。2015年，国家卫生计生委与公安部、交通运输部、中国民用航空局、中国铁路总公司、中国红十字会总会等部门加强联合，并召开人体捐献器官转运工作的专题会议，讨论决定在原有工作机制的基础上建立人体捐献器官转运绿色通道，形成制度性安排，保障人体捐献器官转运畅通，维护人民群众生命健康。我们结合国际器官转运管理经验，立足我国国情和既往工作经验，坚持科学、灵活、实用原则，起草了《关于建立人体捐献器官转运绿色通道的通知》（讨论稿），并在广泛征求相关部门意见的基础上反复进行修改完善，最终定稿形成了《关于建立人体捐献器官转运绿色通道的通知》。 三、主要内容 （一）建立人体捐献器官转运绿色通道。国家卫生计生委、公安部、交通运输部、中国民用航空局、中国铁路总公司、中国红十字会总会联合建立人体捐献器官转运绿色通道，以解决制约人体捐献器官转运中的突出瓶颈问题为导向，重点保障实现快速通关和优先承运，规范和畅通转运流程，形成制度性安排，提高转运效率，保障转运安全，减少因运输原因造成的器官浪费。 （二）建立人体捐献器官转运绿色通道的工作机制。一是建立协调机制。国家卫生计生委会同公安部、交通运输部、民航局、铁路总公司、中国红十字会总会等有关部门和单位建立人体捐献器官转运绿色通道的协调机制，统筹协调并指导落实相关工作，设立器官转运绿色通道24小时应急电话，落实工作要求，保障人体捐献器官转运绿色通道便捷、畅通。二是明确各方职责，各部门各司其职，共同保障器官转运。卫生计生行政部门负责制定人体捐献器官运输技术规范与标准，统一移植中心器官接收确认文件。公安部门负责依法保障运送人体捐献器官的救护车优先通行。交通运输部门负责保障便捷、快速通过收费公路收费站。民航部门负责保障运送人体捐献器官的人员优先安检、快速登机，协调承运人体捐献器官的航班班次，遇拥堵或流量控制时优先放行。铁路部门负责保障火车站安检快速过检、乘车，协调列车车次，必要时登车后补票。红十字会负责协助人体捐献器官运输，提供人体器官运输专用标志。OPO工作人员根据实际需要向交通运输、民航、铁路部门提出人体捐献器官转运绿色通道申请，提供行程安排及相关证明材料，承担人体捐献器官运输安全的主体责任。人体捐献器官承运方按规定核收运输服务费用，不承担人体器官捐献的保管及运输途中晚点等未知因素影响的责任。三是鼓励社会力量参与人体捐献器官转运工作。我们鼓励社会力量开展公益服务和慈善活动，提供运输工具运送人体捐献器官。同时，借鉴国外成功经验，探索通用航空公司及其他社会运输服务提供方参与人体捐献器官转运工作。 （三）明确人体捐献器官转运流程。将人体捐献器官转运的流程进一步细化，分为一般流程及应急流程。转运过程中根据实际情况，启动不同流程，实现人体捐献器官转运的快速通关与优先承运，提高转运效率，保障转运安全，减少因运输原因造成的器官浪费。 一般流程时，OPO工作人员在明确获取人体捐献器官时间后，根据实际需要，航空运输时应当将航班班次通过航空公司客服电话直接向其通报，铁路运输时应当将火车车次等信息通过器官转运绿色通道24小时应急电话向有关单位通报，公路运输时，应当优先使用救护车运输。经过收费公路收费站时可优先通过。到达机场、车站后，OPO工作人员优先办理乘机、乘车手续，并优先通过安全检查，实现快速登机或乘车。 当运送人体捐献器官的救护车遇有交通堵塞等情形，可依法使用警报器、标志灯具，在确保安全的前提下，不受行驶路线、行驶方向、行驶速度和信号灯的限制，其他车辆和行人应当让行。行使上述道路优先权仍无法通过的，可拨打110、122等当地报警电话求助。收费公路收费站拥堵，可通过器官转运绿色通道24小时应急电话联系交通运输部门协调，保障优先通过。 当OPO工作人员预计不能及时到达机场时，应当主动通过航空公司客服电话向其说明情况，由航空公司启动应急预案。在飞机起飞前到达机场的，由航空公司协调开通人体捐献器官绿色通道，快速办理登机手续、优先通过安检登机。在飞机起飞后到达机场的，由航空公司负责协调安排改签临近航班。航班延误时，除天气因素等不可抗力外，由航空公司协调承运人体捐献器官的航班优先起飞，尽量缩短人体捐献器官运输时间。遇航班满员，在捐献器官保存期限内无其他适宜航班，经协调OPO人员仍无法乘机的，经航空公司同意，可委托机组人员携带转运器官，必要时可通过航空货运运输，航空公司不承担人体捐献器官保管责任。 当OPO预计不能及时到达火车站时，应当主动通过器官转运绿色通道24小时应急电话联系铁路部门说明情况，启动应急预案。铁路部门协助OPO改签临近车次。如列车座位不足，可在铁路部门联系人协助下先登车后补票，确保OPO最快出发，尽量缩短人体捐献器官运输时间。 四、其他事项 （一）人体器官人体器官运输专用标志由各省级卫生计生行政部门和红十字会向中国人体器官捐献管理中心申领后向辖区内OPO提供。 （二）移植中心器官接收确认书在器官分配后由COTRS自动生成，每个器官均对应唯一的二维码。OPO工作人员可下载打印，随身携带备查。如遇问题，可拨打国家卫生计生委人体捐献器官转运绿色通道24小时应急电话。
中国器官捐献登记新增支付宝渠道 登记只需10秒.docx,,,,,2016-12-22,,,新华社,,中国器官捐献登记新增支付宝渠道 登记只需10秒 2016-12-22 18:46 来源： 新华社 字号：默认 大 超大|打印| 新华社杭州12月22日电（记者黄筱、张璇）国家卫计委下属的中国器官移植发展基金会22日在支付宝医疗服务平台上线了“器官捐赠登记”功能，支付宝实名用户可一键完成登记，过程不超过10秒，中国器官捐献登记工作由此进入了“互联网+”时代。 支付宝用户在APP首页搜索“医疗服务”进入医疗服务平台后，可通过“器官捐献登记”的应用进入登记页面，该页面由中国器官移植发展基金会管理。 日前，由世界卫生组织支持，中国器官移植发展基金会、春雨医生和蚂蚁金服等机构公益联合发起的《器官捐献公众意愿调查》显示，83%的参与调查者愿意成为器官捐献志愿者；56%的人不愿登记成为器官捐献志愿的原因是“不知道在哪登记或手续太繁琐”。 “随着我国器官捐献与移植改革工作的推进，器官捐献本身在社会中逐渐得到认可。但中国人的捐献意愿的表达与国际差距依然很大，美国有1.3亿人登记捐献器官，而我国不到8万人。”中国器官移植发展基金会理事长黄洁夫认为，除了有效的器官捐献体制机制建设较晚之外，宣传工作不到位也影响了人们捐献意愿的表达。“很多人还不清楚器官捐献志愿者的概念，也不知道器官捐献意愿可以通过网站登记来表达。” 黄洁夫表示，把器官捐献志愿登记工作与民众生活相关的互联网服务结合，是超常规的、有效的社会动员方式，其广泛性和便捷性将推动中国器官捐献意愿的表达进入新阶段。 器官捐献登记仅为意愿表达，真正的器官捐献和分配发生在ICU中，除了严格的医学、伦理评估，还须征得直系家属的同意。另外，公众可随时取消登记，登记意愿全凭自愿。
中国移植运动会暨中国器官捐献日活动在津举行.docx,,,,,,,,天津日报,,"""中国移植运动会暨中国器官捐献日""活动在津举行 中央政府门户网站　www.gov.cn　　 2010年07月18日　　 来源：天津日报 【字体：大 中 小】 【E-mail推荐 】 由中华医学会移植学分会主办、天津市红十字会协办，天津市第一中心医院承办的“第四届中国移植运动会暨第三届中国器官捐献日”活动，17日上午在天津医科大学体育馆开幕。 天津市委书记张高丽，市委副书记、市长黄兴国，市人大常委会主任刘胜玉17日中午在迎宾馆会见了出席开幕式的嘉宾。全国人大常委会副委员长、中国红十字会会长华建敏宣布运动会开幕。卫生部副部长黄洁夫，副市长张俊芳等致辞。中国红十字会常务副会长王伟，市委常委、市委教育工委书记苟利军，市委常委、市委秘书长段春华，市人大常委会副主任李润兰，市人大常委会秘书长王世新，市政府秘书长李泉山参加会见或出席开幕式。 张高丽对第四届中国移植运动会在津举行表示祝贺，对中国红十字会给予天津工作的关心支持表示感谢。他说，中国红十字会是党和政府在人道工作领域的得力助手，是构建社会主义和谐社会的重要力量。人体器官移植标志着医学科技的重大进步，对于挽救生命、提高生活质量具有重大意义。我们要普及器官移植知识，树立崇尚科学、尊重生命、友爱奉献的新风尚，进一步提高红十字事业发展水平，促进经济社会又好又快发展。 华建敏在会见时说，天津市委、市政府始终高度重视红十字会工作，天津红十字事业取得了长足发展。天津是全国首批人体器官捐献试点省市，积累了许多宝贵经验。希望积极开拓创新，传播“人道、博爱、奉献”的红十字精神，鼓励公民自觉捐献器官，推动我国器官捐献和移植事业健康发展。 黄洁夫在致辞中说，此次活动对于动员全社会关心支持我国器官移植事业发展具有重要意义。天津是我国器官移植科学发展的先进地区，在移植病人的数量和质量上处于国内领先水平。我们要深入开展器官捐献工作，促进生命科学进步，保障人民群众生命健康。 开幕式上，进行了精彩的团体操和健身操表演；开幕式后，运动会组委会召开了新闻发布会。 中国首届移植运动会2004年6月在武汉举办，运动会每两年举办一次。本届运动会在参赛人数和规模上创历届之最，来自国内外的20多支代表队，近800位曾经接受过器官移植的康复者和器官捐献志愿者及家属将参加羽毛球、乒乓球、田径、游泳及部分特殊项目和趣味项目的比赛。 在津期间，华建敏一行还参观考察了市第一中心医院并听取有关情况汇报。 天津市有关方面负责同志参加相关活动。"
举办新疆首届人体器官捐献与移植论坛，共话规范化诊疗经验.docx,,,,,2023-07-09,,,自治区人民医院,,举办新疆首届人体器官捐献与移植论坛，共话规范化诊疗经验 作者： 刘青    来源： 自治区人民医院    日期： 2023-07-09 近日，由新疆维吾尔自治区人民医院主办的新疆首届人体器官捐献与移植论坛在乌鲁木齐召开，来自全国器官移植领域的顶级专家，与来自全疆各地州20多家医院的近百名相关领域专家共聚一堂，分享器官移植与捐献相关的发展现状、规范化诊疗经验，从而促进新疆器官捐献与移植技术发展，提升新疆人体器官捐献与移植的规范化诊疗。 新疆首届人体器官捐献与移植论坛 器官移植被誉为临床医学的“塔尖”，也是目前拯救器官衰竭患者的唯一有效治疗手段，每年可挽救近万人的生命。随着器官捐献工作的深入开展，越来越多的爱心人士自觉加入到器官捐献者队伍中，不仅为社会作出奉献，还为医学教学、科研以及医疗移植事业做出了积极贡献。新疆自开展人体器官捐献工作以来，目前已有7.4万名志愿者在自治区人体器官捐献管理中心登记，累计实现人体器官捐献91例。 自治区人民医院作为全疆大型综合“三甲”医院之一，始终用实际行动践行“人民至上、生命至上”的铿锵誓言，诠释“人民医院为人民”的责任担当，早在1990年就开始开展肾脏移植手术，并于2003年完成新疆首例心脏移植手术，开启了新疆人体器官捐献与移植时代。 近年来，在自治区卫生健康委的指导下，自治区人民医院大力推进器官移植工作，于2021年7月正式成立器官移植办公室，组建肾脏及心脏移植多学科会诊团队，完成了30余例肾脏移植手术、4例心脏移植手术、11例人工心脏植入术，为器官衰竭终末期患者带来了新生的希望。 西安交通大学器官移植研究所所长、中华医学会器官移植分会主任委员薛武军授课 论坛上，西安交通大学器官移植研究所所长、中华医学会器官移植分会主任委员薛武军简要回顾了器官移植发展历程并系统阐述了OPO（捐献器官获取组织）学科化、体系化的建设与发展，并指出我国人体捐献与移植工作中存在的问题；中华医学会器官移植分会感染学组委员刘斌以《成人双供肾移植的临床实践》为题，与大家共享临床经验，交流学习。 湖北省活体器官移植专家委员会秘书、华中科技大学同济医学院附属同济医院医务处OPO办公室副主任施辉波以《潜在捐献者器官功能评估及维护策略》为主题，详尽介绍了器官功能评估及维护的具体方法和措施；中国医师协会器官移植医师分会肾移植学组秘书、肾脏病理学组副组长郑瑾围绕肾脏移植内容，重点分享了器官移植配型的重要性。 华中科技大学同济医学院附属同济医院器官移植研究所临床部副主任、医务处OPO办公室主任蒋继贫发言 会议讨论环节，华中科技大学同济医学院附属同济医院器官移植研究所临床部副主任、医务处OPO办公室主任蒋继贫表示，器官捐献涉及极为重要的伦理问题，必须始终高度重视，严格按照有关法律法规和政策要求规范有序开展，为器官捐献与移植工作的更好开展提供保障。 自治区人民医院党委副书记、院长杨毅宁总结讲话 “此次论坛为新疆器官移植医护人员搭建了一个与国内专家学习交流的平台，通过相互探讨国内外先进的器官移植相关研究，深化学科领域研究合作，将促进器官移植工作迈向高质量发展。”杨毅宁说，器官移植技术是医院综合实力的体现，对推动移植学科群建设、带动医院整体高质量发展具有重要意义，今后自治区人民医院将进一步加强与自治区红十字会协作，加快形成和巩固各部门共同参与人体器官捐献工作，不断完善人体器官捐献工作体系，提升器官移植技术能力，造福全疆各族百姓。
云南举行活动缅怀人体器官捐献者.docx,,,,,2019-04-03,,,新华社字号：默认,,云南举行活动缅怀人体器官捐献者 2019-04-03 19:05 来源： 新华社字号：默认 大 超大|打印| 4月3日，医务工作者代表在活动现场向捐献者纪念碑献花。 当日，2019年云南省人体器官捐献缅怀纪念活动在位于昆明市金宝山艺术园林的云南省人体器官捐献者纪念园举行。自2013年7月正式启动器官捐献工作，至2019年3月底，云南省已累计完成人体器官捐献333例，人体器官捐献登记志愿者达到6398人。 新华社记者 江文耀 摄
