问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
291754807,1,YANWUYAO,未知,10193,https://www.zhihu.com/people/yanwuyao-42,"铸造工程师,篮球菜领队马刺铁密爱读kindle，WAR3打打",2778056039,2022-11-28 04:36:21,25,7554,1043,如果老死的大象牙可以卖，那就没有大象可以活到老死
291754807,1,吃人的老祖宗夏蝉,男,1694,https://www.zhihu.com/people/xiao-wei-de-liang-qi,拳师，打得一拳开免得百拳来，不要因为推送就关注我。,1292443897,2020-11-18 10:30:10,480,68938,9112,我倒无所谓我死了之后有人要我的器官，我怕的是有人要我器官的时候我还没死。
291754807,1,制作组真莓良心,未知,483,https://www.zhihu.com/people/you-hu-sui-sui-99-85,,2734221633,2022-10-28 10:26:02,0,53329,6425,为什么自然老死病死的大象象牙也不能卖呢，因为这样很多大象会死于脑溢血，且血管创口大小都是7.62mm。
291754807,1,知乎马甲1号,未知,706,https://www.zhihu.com/people/chen-yi-66-64-11,保密。,2766522144,2022-11-20 06:01:12,921,26125,3389,安徽怀远石祥林案，了解一下。
291754807,1,外贸-任泽宇,男,1371,https://www.zhihu.com/people/a-ren-ren-ren-ren,2016年从事外贸行业，积累大量优质客户,2766194197,2022-11-19 21:20:30,441,12902,1272,我办了两张信用卡，你猜怎么着？短信天天接收到网贷平台的放款信息。我注册一家公司，一天接到20通会计公司电话。当你填写器官捐献表，你觉得这些信息会不会泄漏出去？下次找你的，说不定就是死神了
291754807,2,Yukino,未知,99,https://www.zhihu.com/people/yukinomisaki,,1293856298,2020-06-20 17:35:38,213,8900,1245,我对血站已经很失望了，200硬是抽400，要是捐器官那还了得，我不想让善意变成生意。
291754807,2,不成村落夕陽邊,女,2091,https://www.zhihu.com/people/53-75-19-54,知乎说含有法律禁止引起争议的内容，已被重置,2758439695,2022-11-14 13:07:47,70,10316,1261,
291754807,2,YUKIMI大福,未知,1742,https://www.zhihu.com/people/wu-liao-tou-ding-55-12,从未关过天窗的门，告诉你楼顶上尽是星河璀璨,2869125624,2023-01-31 09:23:56,13,10091,2280,
291754807,2,知乎用户,女,842,https://www.zhihu.com/people/,,2771783277,2022-11-24 16:06:44,480,46925,7204,某一天，有个律师找到你，你正纳闷，他告诉你，有个人病了，你的肾跟她的匹配，希望你去世后捐献给她。可以给钱让你家人衣食无忧一世。你骂走了他某一天，你开车，突然间有辆货车冲了过来 ，你刹车及时，没发生意外某一天，你在路上走着，路边的店铺门突然间倒下来，你因为蹲下系鞋带，从门中间保全性命，毫发无损。。........直到你妻子突然间冷落你，骂你废柴，骂你不能让她幸福，骂你不能让孩子有好的将来直到你公司被某个公司收购，给你降职，让你看门口，甚至辞退你器官捐献来源不明器官捐献过程不明器官捐献受益者不明器官捐献法律法规--------无器官捐献法律法规执行--------无器官捐献法律法规部门-------无器官捐献法律法规监管---------无器官捐献法律法规监管反腐法---------无每一个器官完整的链路信息----------无器官捐献公示--------无器官捐献道德伦理讨论--------无器官捐献全公民意见收集--------无到底是谁在推动器官捐献，这个问题必须追查
291754807,2,我是韭菜,未知,57,https://www.zhihu.com/people/boring-51-93,,2770937466,2022-11-23 06:26:25,113,7206,1225,因为人性，余华的活着，有一个小孩和县里的夫人血型匹配，然后把小孩的血抽干了。大概就是这样的事情，我真的能想象到人性的恶是有多么的恶。
291754807,3,南夏栀,未知,251,https://www.zhihu.com/people/nan-xia-zhi-5,,3203103032,2023-09-23 16:57:11,591,12163,1665,某医学大佬发表论文被国外退回，理由是器官来源不明评论区我没动，怎么没的大家心里有数
291754807,3,大浩小恒,未知,79,https://www.zhihu.com/people/ji-zhi-hao-89-82,,2787211259,2022-12-04 15:15:59,77,6214,1110,我小学时，读过一篇不记得是课文还是文章的。讲的就是器官捐献。大概就是女主的家人去世了，捐了器官。女主了解后觉得太伟大，太感动了。也签了捐献书。然后没过多久……出车祸了。顺利的把器官捐了。当时还小，只觉得好不吉利。刚签就死了……
291754807,3,清明不再,未知,223,https://www.zhihu.com/people/qing-ming-bu-zai,,1296279443,2020-06-22 07:10:58,338,14236,1958,em…还记得那个脊柱包吗？怕我变成这玩意。更怕我还活着的时候，有“人”觉得我的某个部位“很漂亮”、“匹配ta”、“高端显地位”，然后我哪天就“意外身亡”。还记得那个土耳其的肚子疼-阑尾炎-不治身亡，然后遗体发现子宫等各器官都消失了的那件事吗？就问你怕不怕。
