问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
562160040,1,潇湘梦雨,未知,591,https://www.zhihu.com/people/liu-yong-nan-53,漫步在星河，不尽夜色,2890355492,2023-02-19 18:32:00,810,6144,670,国家当时不让我出生，是我爸妈花了一万多跑关系给我买的这条命。2023.2.20，评论区被强制关闭，答主无权限开放评论区。有个有意思的问题欢迎大家讨论，有个评论认为可以出生只是黑户；我们当地是会被强制引产。看评论区有很多类似经历的答主，可以说一下自己当地是前者还是后者。未进行任何控评
562160040,1,泥豆,男,507,https://www.zhihu.com/people/he-zi-93-67,真没辙了,2891297835,2023-02-13 10:06:27,736,5428,638,你让国家给你买零食；你让国家带你去动物园；你让国家给你零花钱；你让国家给你买房、给你买车、给你办婚礼；你工作了，不要交税，偶尔给国家买件衣服，或者送提奶，或者给200钱，你看国家愿意不；你不痛快了，逮着身边公职人员吵一架，骂一顿，发泄一下情绪，你看国家原谅你不；你知道国家到底是什么吗？
562160040,1,行了行了赶紧睡觉,未知,358,https://www.zhihu.com/people/bai-se-feng-bao-62-36,,2885057875,2023-02-14 11:56:41,520,7341,624,马上断绝和他们的经济往来，然后跟国家要钱，证明自己确实是国家养的。看到评论区一些人的话，我普及一点点基本常识。第一，国家的财政收入主要来自于税收和土地出让金（地方zf）。因此才能提供各种公共服务，换句话说国家的钱来自于劳动人民创造的价值，不是随便印出来直接用的。第二，我国的税不仅仅有个税，还有增值税、企业所得税、购置税等等。除个税以外，其他税一般是是包含在商品价格中的。在某些国家含税价是在商品上标注的，类似于你在国内买车会被告知自己交了多少购置税，但国内绝大多数商品没有标注。换句话说，只要你消费，你就在缴税。否则就会推出富人交的税多，普通人都是吸富人的血才得以生存的。第三，国家提供服务是不是对人民的恩惠和赏赐。提供公共服务是政府的分内之事，只不过有的地方提供的多，有的地方提供的少。根本上是说有的地方的人创造的价值更多，交了更多的税，因此换来了更多的公共服务，有的地方则相反。如果提供公共服务就是国家的恩情的话，那么任何一个愿意接纳移民的国家都是大善人，既包括全球收割人才的美国，也包括通过接受难民来补充劳动力的德法。有这种想法的人建议去朝鲜，去世世代代感谢将军的恩情。第四，有人认为人离不开国家，没有国家你就挣不到钱。其实，大部分人的工资来自于资本家，没有资本家你也拿不着工资。你要是觉得劳动者是靠资本家养活的，那我就……实际上，除个别寄生虫，大部分人都是依靠劳动挣钱，就连广受批评的公务员，本质上都是被政府所雇用，依靠劳动挣钱。评论区自己关了，我可没删过评，我什么都不知道
562160040,1,笑问心,未知,83,https://www.zhihu.com/people/xiao-wen-xin-44-55,社会盲流,2884450387,2023-02-09 08:19:19,146,3901,336,去福利院做孤儿
562160040,1,unstupid,未知,40,https://www.zhihu.com/people/unstupid,不想被吃,2883789906,2023-04-15 22:57:50,338,3359,341,巧了，我爸妈不仅是我的供养者，还是国家的供养者之一。我发现很多人总是说你一个月三千块，你的孩子能接受教育就是国家和社会的恩赐。但我想问问大家，考上华师一附中，长郡中学，镇海中学的，有多少人父母月薪三千，考上清北复交的有多少人父母月薪三千块的。说到底，月薪三千的人，他的孩子大概率上中专大专，甚至辍学的，为什么呢?因为他买不起学区房，甚至县里的学校，他们都不能读，只能读乡镇里的学校，一个班五六十个孩子，一个老师带两三个班，老师也是五六十的，中专毕业的老师，这样的教育真的有多少资源倾斜吗？
562160040,2,厚颜无耻王司徒,男,13905,https://www.zhihu.com/people/houyanwuchiwangsitu,不要吵了，大家一样烂.jpg,2889111712,2023-02-13 16:16:34,182,3916,329,这个得看具体情况，比如说这位美帝带孝女Helena Duke，当她在国会山事件的第二天，发现曾经禁止自己参加黑命贵运动的母亲，去华盛顿撑懂王还和黑命贵起了冲突时，她当即做了一个违背祖宗的决定：上推特举报自己亲妈！搞笑的是，这位Helena Duke为了证明“我妈是我妈”，还特地把自己和妈妈出去玩时拍的合影放了出来。她妈妈拍合影的时候估计也没想到，这张照片会和自己头破血流的照片并列，以这种方式在赛博空间被公开处刑。哄堂大孝了属于是。紧接着，Helena Duke发现除了自己亲妈以外，自己的叔叔和阿姨也参与其中，索性一不做二不休，把自己叔叔阿姨也在网上曝光，用实际行动证明了：不是疯狂星期四，照样能吃全家桶。当Helena Duke的亲妈发现自己被女儿曝光之后，立刻就要求她删除推特，在被拒绝之后就停止支付给她生活费和学费。然后这位带孝女立刻上网为自己募捐。我之前去看的时候，她已经筹集到了7万2千多美元。按照一顿炸鸡自助1美元计算，够她吃65年炸鸡自助了。因此，当Helena Duke被自己亲妈断绝经济支持后，她甚至可以说是黑命贵运动在养她。毕竟这位美帝带孝女真的断绝了和爸妈的经济往来，然后真的上网募捐跟黑命贵运动要钱，还真的要到了钱，用实际行动证明了自己确实是黑命贵养的。
562160040,2,匿名用户,男,0,https://www.zhihu.com/people/,,2884933192,2023-02-09 12:51:12,177,3897,353,哪怕你长在孤儿院，你也是纳税人养的，国家是统筹了纳税人的钱盖了孤儿院。
562160040,2,我不知道,未知,613,https://www.zhihu.com/people/wo-bu-zhi-dao-19-56-64,高三ing（正在做天星试题调研）,2823972608,2023-02-10 18:20:46,176,1981,222,兄啊，还房贷的是你父母，买奶粉的是你父母，卖肉给你吃的是你父母每天996赚钱的是你父母，每天疲于奔命和老师了解你情况的是你父母，交税的是你父母，换句话来说，无论你出生在哪个国家，都是你父母一把屎一把尿地把你带大，当然那些抛弃孩子的个别情况就不说了。怎么突然那么多赞了
562160040,2,Nebula,未知,1892,https://www.zhihu.com/people/zhang-wei-yang-37-89,理工男，从不控评、删帖(人肉除外),2885000852,2023-02-09 13:41:16,84,2163,156,出示一下你的这个证件不就完了么？
562160040,2,吴京牌飞机杯,未知,267,https://www.zhihu.com/people/lan-de-qi-ming-37-10,榨出爱国基因,2885034332,2023-03-19 10:56:57,69,1135,108,不反驳你，每个人都有自己的观点无可厚非。但，只要你敢在你父母面前说出：“是国家养的我，不是你们养的我，我从小到大的衣食住行都是国家给我想的办法，和你们没有半点关系”。待到需要解决房车问题时，再双眼真诚的望着你的双亲，对他们说：“你们用血汗钱给我凑的房子首付是国家帮的我，希望以后你们能搬出我家；包括车也是国家给我解决的，和你们没有半点关系，以后出行也不会载着你们”。我就敬你是条汉子。在网上扯半年不如行动起来，相信自己的嘴再摸摸自己的心，你行的。我没关评论，我也没法评论
562160040,3,一网打尽,未知,850,https://www.zhihu.com/people/na-shui-68-43,你是我最自由的灵魂,2884254004,2023-02-12 06:01:44,83,376,38,为什么要反驳呢？这句话不是真的吗？这句话不是事实吗？有谁不是父母养的？有谁不是父母供书教学的？有谁的父母是不纳税的？有谁的父母是不工作的？有谁的父母是不履行教育子女义务的？国家之所以存在，是因为无数的父母们、子女们诚实劳动，依法纳税，遵纪守法的结果。国家不是人，没有人格，不可能有养育任何一个人的行为和主观愿望，虽然国家行为归根到底是人类的行为。所以，养育我们的只能是我们的父母，而不是国家，反而国家是需要我们的父母兄弟姐妹祖父祖母等等等等人，去建设的，诚实劳动依法纳税，就是我们建设祖国的实质性行为。因此，请感恩我们的父母吧，我们的确是父母养的，和国家没什么关系，是父母含辛茹苦地把我们抚养大，供书教学，抓住一切机会，让我们得到更多。
562160040,3,子荀,未知,965,https://www.zhihu.com/people/zi-xun-75,银行苦力,2891440198,2023-02-13 11:25:59,31,493,53,把你的孤儿证亮出来扇在对方脸上！保证对方无言以对。然而，如果你没有这个东西，你就应该被自己爸妈扇耳光。------概念解释：孤儿证 (即儿童福利证)的作用是作为0-18岁的孤儿、查找不到生父母的儿童和事实上无人抚养的未成年人获得救助的凭证。
562160040,3,马哲,未知,112,https://www.zhihu.com/people/ma-ze-14-53,只是名字叫马哲,2889767322,2023-02-12 11:50:40,204,1452,92,丁真有个采访视频，采访者问丁真，你是哪个省的？丁真想了一会后回答：妈妈省的。作为理塘的形象大使，丁真当然知道理塘是四川省的。那为什么丁真宁愿被嘲笑也要说他是来自妈妈省的呢？因为丁真知道是四川省养育了他，四川对于他来说就是妈妈，所以他深思后才这么回答。就拿这个故事来反驳那些白眼狼吧！
562160040,3,秘密黄,女,389,https://www.zhihu.com/people/huang-mi-mi-25,感谢愚笨的自己，没有放弃奔跑。,2885861497,2023-02-10 04:53:11,120,1155,166,首先，我本来就是我爸妈养的。其次，你要说gj盖了学校医院大马路医保社保生育金。。。这些养了我，可这些好像都是纳税人交税贡献的吧。。顶着乌纱帽的人应该是人民的公仆，而不是需要被感恩戴德的主子。
