文件名,索引号,主题分类,发文机关,成文日期,发布日期,发文字号,标题,来源,公文种类,内容
2021年央企实现净利润1.8万亿元 国企改革三年行动70%目标任务顺利完成.docx,,,,,2022-01-20,,,经济日报字号：默认,,2021年央企实现净利润1.8万亿元 国企改革三年行动70%目标任务顺利完成 2022-01-20 09:24 来源： 经济日报字号：默认 大 超大|打印| 中央企业2021年经济运行成绩单19日“出炉”：全年实现营业收入36.3万亿元，同比增长19.5%，两年平均增长8.2%；实现利润总额2.4万亿元、净利润1.8万亿元，分别同比增长30.3%、29.8%，两年平均增速分别为14.5%、15.3%。 在国新办19日举行的新闻发布会上，国务院国资委秘书长、新闻发言人彭华岗表示，2021年中央企业效益增长创历史最好水平，年初制定的营业收入利润率、研发投入强度、全员劳动生产率和资产负债率等目标全面完成。 2021年中央企业营业收入利润率为6.8%，同比提升0.6个百分点；全员劳动生产率达到69.4万元/人，同比增长17.5%；研发经费投入9045.9亿元，同比增长16.1%。 2021年，中央企业完成固定资产投资（不含房地产）3.2万亿元，同比增长10.1%；上缴税费2.4万亿元，同比增长20%；截至去年末中央企业资产负债率保持在64.9%，圆满完成预期目标。 “2021年，国企改革三年行动70%目标任务顺利完成，改革为企业高质量发展提供了强劲动力。”彭华岗表示。 从双百行动、科改示范行动等国企改革专项工程看，改革头雁效应显著。400多户双百企业全员劳动生产率达到人均85.3万元，远远高于中央企业和全国国有企业的水平。200多户科改示范企业利润总额和净利润均高出中央企业和地方国有企业增长率10个百分点以上。 2021年，各地区、各有关部门和中央企业、地方国有企业围绕落实三年行动方案，做了大量扎实有效的工作。中国特色现代企业制度和国资监管体制向更加成熟定型迈出实质性步伐，企业市场化经营机制改革在更大范围、更深层次破冰破局，战略性重组、专业化整合、新兴产业布局，有力推动国有资本结构优化提升。 中央经济工作会议强调，2022年经济工作要稳字当头、稳中求进。国企将如何发挥好经济“压舱石”作用？彭华岗表示，2022年，国资央企要突出抓好稳增长，决战决胜国企改革三年行动，做好强化企业科技创新、防范化解重大风险等工作。 2021年底召开的中央企业负责人会议研究提出了2022年中央企业“两利四率”指标的目标任务，即“两增一控三提高”。“两增”，就是利润总额和净利润增速要高于国民经济增速；“一控”，就是资产负债率要控制在65%以内；“三提高”，就是营业收入利润率要再提高0.1个百分点、全员劳动生产率再提高5%、研发经费投入要进一步提高。 “对于中央企业来讲，稳字当头首先就是要实现自身的稳增长，稳中求进就是要为国民经济增长作贡献。”彭华岗强调，2022年，国资委和中央企业将紧紧围绕“两增一控三提高”目标，把完成稳增长任务和推动高质量发展结合起来，以稳促进、以进固稳，为经济社会发展作出更大贡献。（记者 周雷）
“国家发展改革委与美在华跨国企业高层圆桌会”在川举行.docx,,,,,2021-10-27,,,新华社字号：默认,,“国家发展改革委与美在华跨国企业高层圆桌会”在川举行 2021-10-27 08:36 来源： 新华社字号：默认 大 超大|打印| 新华社成都10月26日电（记者 卢宥伊）“国家发展改革委与美在华跨国企业高层圆桌会——四川站”26日在蓉举行。 会上，国家发展改革委副主任宁吉喆表示，作为“一带一路”和长江经济带联结点、西部陆海新通道起点，川渝两地在全国开放格局中的战略地位日益凸显，正成为内陆开放的前沿。 宁吉喆介绍，今年1至8月，四川省对美货物贸易进出口额达1323.9亿元，同比增长25.4%，占全省货物贸易进出口总额的23%。重庆市对美货物贸易进出口额达752亿元，同比增长21%，占全市货物贸易进出口总额近15%。川渝地区承东启西、联通南北，有潜力巨大的消费市场、深厚坚实的要素支撑、对接国际的开放空间、叠加落地的政策红利，发展态势向好、前景可期。 国家发展改革委有关司局负责同志在会上分别围绕成渝地区双城经济圈建设、双城经济圈综合交通运输发展规划、中美经济合作等有关情况进行解读，四川省发展改革委和重庆市发展改革委负责同志介绍成渝地区双城经济圈建设有关情况，成都市人民政府负责同志介绍成都市营商环境、产业功能区及政策有关情况。美在华商会、企业代表围绕关心、关注的议题与有关部门进行了深入互动交流。 该活动由国家发展改革委国际司与四川省发展改革委共同举办，国家发展改革委国际合作中心、成都高新技术产业开发区管委会承办。来自49家美在华商会、企业的61位代表参会。
三年行动目标七成预定任务完成——国企改革全面发力多点突破.docx,,,,,2021-12-31,,,经济日报字号：默认,,三年行动目标七成预定任务完成——国企改革全面发力多点突破 2021-12-31 08:53 来源： 经济日报字号：默认 大 超大|打印| “十四五”开局之年，国企改革发展捷报频传，中央企业效益增长创历史最好水平。2021年前11个月，央企实现利润总额2.3万亿元、净利润1.75万亿元。 “国企改革三年行动目标70%的预定任务顺利完成，改革为企业高质量发展提供了强劲动力。”国务院国资委党委书记、主任郝鹏表示，按照中央经济工作会议要求，2022年国企改革三年行动任务必须全面完成。 质量效益不断提升 南方电网董事长孟振平表示，截至2021年11月底，南方电网改革三年行动总体任务完成率为88%，取得了总体进度、重点任务“双超前”的良好进展。 深入实施国企改革三年行动，有力提升了南方电网发展质量效益。截至11月底，公司营业收入同比增长15.1%，净利润同比增长24.4%。 中国化学工程集团有限公司的最新数据显示，通过倒排工期、挂图作战、逐项推进，公司改革三年行动128项改革任务已完成92项，其他36项按计划推进，总体任务量完成率91.4%。 2021年以来，中国化学工程集团有限公司共完成8户企业混改，其中，华陆公司释放30%股权引入行业龙头万华化学，强强联合快速形成产业链优势互补；桂林公司控股并购重组上海华谊装备公司，共同打造化工智能装备研究平台、机制灵活运作高效市场主体和高端装备制造产业基地。 2021年是国企改革三年行动的攻坚之年、关键之年，中央企业、地方国企争作改革先锋，按下“快进键”，跑出“加速度”，形成了全面发力、多点突破的良好局面。 “截至10月底，山东省国企改革三年行动整体任务完成占比达85%。”山东省国资委党委书记、主任张斌日前表示。2021年前10个月，山东省属企业实现营业收入、利润总额、净利润同比分别增长22.9%、43.8%、46.6%。 国有资本结构优化 当前，国企改革步入深水区。国企改革三年行动作为国企改革“1+N”政策体系的具体施工图，受到各方关注，70%量化指标背后有哪些进展成效？ 从年初到年末，中央企业重组整合高潮迭起，令全球业界瞩目，也牵动了资本市场的神经。中国星网、中国电气装备、中国物流集团挂牌成立，中化集团和中国化工联合重组，中国电科重组中国普天，鞍钢重组本钢，国家管网资产重组顺利完成，稀土、煤炭等专业化整合深入实施，物流大数据平台、海工装备创新平台加快落地。 从中央企业负责人会议公布的国企改革主要进展看，2021年，中国特色现代企业制度和国资监管体制向更加成熟迈出了实质性步伐，企业市场化经营机制改革向更大范围、更深层次破冰破局，战略性重组、专业化整合、战略性新兴产业布局有力推动国有资本结构优化提升。 着力推进中国特色现代企业制度建设。深入落实《关于中央企业在完善公司治理中加强党的领导的意见》，出台《中央企业董事会工作规则（试行）》《中央企业董事会和董事评价办法》，印发中央企业党委（党组）前置研究讨论重大经营管理事项清单示范文本。 目前，中央企业及98.2%的子企业实现董事会应建尽建，超70%的集团公司制定董事会授权制度，89.9%符合条件的二三级子企业实现外部董事占多数。 着力破解市场化改革重点难点问题。混合所有制企业加快转换经营机制，三项制度改革进一步取得实质性突破，经理层成员任期制和契约化管理制度全面建立，子企业层面签约比例达83.6%，比年初增长54.3个百分点。 决战决胜三年行动 2022年是国企改革三年行动收官之年。中央企业负责人会议提出，要决战决胜国企改革三年行动，确保各项改革任务在党的二十大召开之前基本完成，明年年底前全面完成。 “国企改革三年行动必须高质量完成。”郝鹏表示，要对照“三个明显成效”抓收官，即在建设中国特色现代企业制度上取得明显成效，在推动优化产业布局上取得明显成效，在提高企业活力效率上取得明显成效。 “2022年国企改革的重点难点，无疑就是国企改革三年行动方案中提出的尚未得到有效落实的内容。”中国企业联合会研究部研究员刘兴国分析认为，一些企业在任务落实中有“形似而神不似”的现象，下一步要在落实见效上下功夫。 按照国务院国资委部署，2022年国企改革三年行动要聚焦重点难点抓攻坚，包括全面落实中央企业在完善公司治理中加强党的领导，推动前置研究清单有效执行；建设专业尽责、规范高效的董事会；全面实行经理层成员任期制和契约化管理，对关键核心技术人才实行具有市场竞争力的薪酬激励制度；推动混合所有制企业深度转换经营机制，持续探索差异化管控；深化跨行业跨领域跨企业专业化整合等。 中央企业负责人会议强调，要把改革重要举措和经验以制度形式固化下来，将国企改革重要要求纳入公司章程和企业制度体系，推动各方面制度更加成熟、更加定型。专家认为，这将有效提升国企治理能力，更好促进国企改革发展行稳致远。（记者 周雷）
充分发挥国有经济战略支撑作用——国资委有关负责人详解“十四五”国资国企改革发展新看点.docx,,,,,2021-07-26,,,新华社字号：默认,,充分发挥国有经济战略支撑作用——国资委有关负责人详解“十四五”国资国企改革发展新看点 2021-07-26 20:45 来源： 新华社字号：默认 大 超大|打印| 新华社北京7月26日电 题：充分发挥国有经济战略支撑作用——国资委有关负责人详解“十四五”国资国企改革发展新看点 新华社记者王希 为贯彻落实“十四五”规划纲要，国务院国资委日前对“十四五”时期国资国企发展、改革、监管、党建等工作进行了系统谋划和具体部署。国有经济布局优化和结构调整如何推进？怎样加快建设世界一流企业？国资委有关负责人就上述热点接受了新华社记者采访。 国企要在高质量发展中走在前列 问：国资委对“十四五”时期国资国企改革发展总的考虑和目标是什么？ 答：“十四五”时期是我国开启全面建设社会主义现代化国家新征程的第一个五年。国资委把国有企业改革发展和党的建设工作放到把握新发展阶段、贯彻新发展理念、构建新发展格局中去谋划和推动，着力引导全国国资监管系统企业切实担负起做强做优做大国有资本和国有企业这一重大责任，这是“十四五”时期国资国企工作的总目标；着力引导国资监管系统企业切实担负起加快建设世界一流企业的重大任务，这是“十四五”期间做强做优做大国有资本和国有企业的标志性成果。 做强做优做大国有资本和国有企业、建设世界一流企业，目的是更好发挥国有经济战略支撑作用。这也是党中央立足新发展阶段赋予国有企业、国有经济新的光荣使命。国资委着力引导国资监管系统企业切实担负起这一重大使命，聚焦战略安全、产业引领、国计民生、公共服务等功能，调整存量结构，优化增量投向，推动国有企业更好服务国家重大战略和地方经济社会发展，更好推动解决发展不平衡不充分问题，更好满足人民日益增长的美好生活需要。 以优化布局补齐高质量发展短板 问：“十四五”规划纲要提出，加快国有经济布局优化和结构调整。国资委将怎样在具体工作中落实这一部署？ 答：“十四五”时期，国资委将大力推动国有资本更多投向关系国计民生的重要领域和关系国家经济命脉、科技、国防、安全等领域，大力发展实体经济，使国有经济在战略安全、公共服务领域的主体作用更加突出，在战略性前瞻性新兴领域的发展动能更加强劲，在基本民生领域的有效供给更加充足，不断提升国有资本配置效率和整体功能。 具体来说，在战略安全方面，重点关注经济安全风险预警、防控机制和能力建设，加大对重要行业领域的投入力度，为实现关键领域的安全可控发挥重大作用。在产业引领方面，要加大在关键核心技术“卡脖子”领域和产业薄弱环节的攻关力度，在战略性新兴技术和产业前沿领域加快布局。在国计民生方面，要着力在关系国民经济命脉的重要行业和关键领域承担起基础性、保障性功能。在公共服务方面，要坚持以人民为中心，加大对生态环保、防灾减灾救灾、公共应急物资保障等公共服务领域的有效供给。 国资委将指导推动中央企业坚持市场化原则，加大同民营企业等各类所有制企业的合作力度，助力营造各种所有制主体依法平等使用资源要素、公开公平公正参与竞争的市场环境；进一步强化充分竞争领域国有资本收益目标和财务硬约束，依托市场竞争机制实现优胜劣汰，提高国有资本配置效率。 问：国资央企具体将如何向实体经济聚力发力？ 答：国有企业特别是中央企业大多处于关系国家安全和国民经济命脉的重要行业和关键领域，是推进国家现代化、保障人民共同利益的重要力量。 “十四五”时期，中央企业将进一步把发展着力点放在实体经济上，努力为构建实体经济、科技创新、现代金融、人力资源协同发展的现代产业体系作出更大贡献。 积极推进制造强国、质量强国建设，落实产业基础再造工程，提升产业链供应链现代化水平，引领打造先进制造业集群，锤炼更多“大国重器”，加快制造业高端化智能化绿色化转型，努力保持制造业资产比重稳中有升。 充分发挥数字经济在生产要素配置中的优化集成作用，依托中央企业产业优势、数据优势、场景优势，以数据要素价值转化为核心，加快推进产业数字化转型和数字产业化发展。 发展壮大战略性新兴产业，聚焦重点领域，统筹推进现有优势领域锻长板和基础较弱领域补短板，大力培育先导性和支柱性产业，加快培育发展新动能，助推战略性新兴产业融合化、集群化、生态化发展。 加大基础设施投入力度，发挥中央企业专业化优势，不断提升基础设施建设质量和水平，统筹推进传统基础设施和新型基础设施建设，服务构建系统完备、高效实用、智能绿色、安全可靠的现代化基础设施体系。 聚焦产业转型升级和居民消费升级需要，扩大生产性、生活性服务业有效供给，提高服务效率和服务品质，着力打造一批质量高、活力强、品牌优的现代服务业骨干企业。 加快建设世界一流企业 问：“十四五”期间，中央企业有哪些重点改革任务？ 答：“十四五”期间，国资委将推动中央企业切实担负起加快建设世界一流企业的重大任务，推进中央企业高质量发展再上新台阶、科技自立自强展现新作为、布局结构调整迈出新步伐、国际化经营取得新进展、国资国企改革取得新成效、党的领导党的建设得到新加强，努力打造一批行业产业龙头企业、一批科技创新领军企业、一批“专精特新”冠军企业、一批基础保障骨干企业。 瞄准上述目标，国资委将出台一系列“组合拳”，包括不断完善指标体系，推进中央企业实现高质量发展；将科技创新作为“头号任务”，把中央企业打造成为国家战略科技力量；推动央企坚决当好现代产业链的“链长”，着力增强产业链供应链自主可控能力；推动央企在提升供给体系对国内需求的适配性上发挥主导作用，在加强现代流通体系建设上发挥支撑作用，在落实国家重大战略上发挥带动作用；坚决当好高水平对外开放的排头兵，确保在国际化道路上走得更稳、更实、更好；统筹发展和安全，以防控风险筑牢高质量发展底线。 问：推动实现碳达峰、碳中和，国资央企具体怎么干？ 答：实现碳达峰、碳中和目标对中央企业是挑战，更是机遇。我们将把碳达峰、碳中和纳入企业发展整体布局，坚定不移走生态优先、绿色低碳的高质量发展道路。 加快发展方式绿色转型。深入打好污染防治攻坚战，坚决遏制“两高”项目盲目发展，提升能源资源利用效率和清洁生产水平，以绿色低碳新技术、新模式、新业态大力推动企业业务结构优化升级。 大力发展绿色低碳产业。积极发展节能环保、清洁生产、清洁能源、生态环境、绿色农业、绿色建筑、绿色服务等产业，推进基础设施绿色升级，加强碳资产管理，打造产业生态体系，引领产业提质增效。 全面提高能源资源利用效率。引导企业优先使用绿色低碳能源，深化工业、建筑、交通运输等重点领域节能，提升数据中心、新型通讯等信息化基础设施能效水平，淘汰落后设备工艺，加快建立循环型生产体系。
吉林省国企改革三年行动取得阶段性成果.docx,,,,,2022-08-27,,,吉林日报字号：,,吉林省国企改革三年行动取得阶段性成果 2022-08-27 10:36 来源： 吉林日报字号： 默认 大 超大|打印| 深度助推全省发展 企业活力显著提高 我省国企改革三年行动取得阶段性成果 “松通、双洮、龙蒲高速建成通车；敦白高铁建成通车；中东西三大板块实现高速连通；中部引水一期工程全线正式运营……”一项项我省国有企业改革的累累硕果在今天上午举行的全省国企改革三年行动攻坚部署暨“学先进、抓落实、促改革”工作推进会上展示出来。 国企改革三年行动实施以来，我省按照“可衡量、可考核、可检验、要办事”的总体要求，坚持问题导向、目标导向、结果导向，着眼“强基固本、扭亏脱困”，坚持“抓重点、补短板、强弱项”的工作定位，以“五化”闭环工作法扎实推动全省国企改革全面发力、重点突破。 近年来，我省国有资本深度谋划加快融入全省发展大局。围绕“一主六双”高质量发展战略，积极向省委、省政府提出的万亿产业、千亿产业和战略新兴产业靠拢，持续发挥国有资本在全省重大基础设施和民生保障领域的主力军作用。截至目前，吉高、水投、铁投等监管企业累计完成投资258.6亿元。 疫情期间，我省国有企业两万余名员工坚守在生产一线，保运行、保供应。全系统1787个基层党组织1万余名党员干部奋战在防疫一线，累计下沉5万余人次，监管企业累计捐款捐物2586万元。 推动国有企业全面建立市场化机制，是向国企改革要活力要动力的关键。目前，我省国有企业全面推行员工公开招聘、管理人员竞争上岗、末等调整或不胜任退出制度，全级次企业经理层成员实现任期制和契约化管理的比例达100%。其中，管理人员竞争上岗人数占比67.7%，末等调整或不胜任推出人数占比8.2%，均已超过全国平均水平。 “通过改革，企业的自身活力与运营效率明显提升，广大干部职工履职尽责、干事创业的热情得到充分激发，主动盯市场、抢市场的意识显著增强。今年1至7月，基层单位的供水、供电保障率均有所提升，供水保障率达97.88%，同比提高2.87%。”省水务投资集团董事长吕鑫说。 “一直以来，省委、省政府对国企改革三年行动寄予厚望。接下来，国企改革三年行动将更加积极主动融入‘一主六双’高质量发展战略，成为助力吉林全面振兴全方位振兴的重要抓手。国有企业要努力成为推动全省发展的‘领头雁’，做到万亿产业有声音、千亿产业有身影、战略性新兴产业有支撑，不断发挥国有经济在‘双循环’中的重要作用。”省国资委主任张志新在会上说。（记者 何泽溟）
围绕五类任务 国企改革补短板强弱项.docx,,,,,2022-09-07,,,人民日报字号：默认,,围绕五类任务 国企改革补短板强弱项 2022-09-07 08:23 来源： 人民日报字号：默认 大 超大|打印| 国务院国有企业改革领导小组办公室近日召开巩固深化国企改革三年行动、补短板强弱项专题推进会，提出下一步要重点围绕五大类任务补短板强弱项。 聚焦权责清晰，完善公司治理。提升前置事项清单在不同层级、不同类型企业的精准性。以发挥董事会投资决策、防范风险作用为重点，分批分类落实职权。对具备条件的子企业，特别是重要子企业，按照“定战略、作决策、防风险”的要求，可优先考虑加快落实重大投资决策权和重大财务事项管理权。推动集团管控内容方式调整优化与落实董事会职权有机衔接。着力提升外部董事履职能力素质。 聚焦普遍激活，健全三项制度。巩固“总部机关化”专项治理成果，坚决避免反弹回潮。用好任期制和契约化考核结果，做到刚性兑现。巩固深化管理人员竞争上岗，有序推动末等调整和不胜任退出更普遍落实。提高中长期激励的覆盖面、灵活性和匹配度，结合本单位实际，更有创新性、更加灵活地运用各种激励政策和工具，使政策更多惠及骨干人员，强化对科技创新人才的精准激励。 聚焦核心竞争力，推进专业化整合。继续大力推动资源向主业企业、优势企业、“链长”企业集中，鼓励更多企业和地区形成“一业一企、一企一业”新格局，实现业务板块清晰，“小散弱”问题基本清零。主动挖掘央企之间、央地之间跨企业、跨层级、跨区域的整合空间，在更广范围促进资源优化配置。强化整合后的深度融合，充分释放一体化运作红利。 聚焦示范引领，推进上市公司相关改革任务。以股权结构优化促进治理机制完善，加大对上市公司的授权放权力度，推动上市公司成为市场化经营机制的先锋表率，继续推动混改企业深度转换经营机制。 聚焦提升监管效能，优化国资监管。强化各级国资监管机构上下联动，普遍推进企业内部监督协同，加快推进党内监督为主导，纪检监察、巡视巡察、财务、内审、违规追责等各类监督手段统筹协调、资源共享的“大监督”模式。（记者 刘志强）
国企办医疗机构改革取得成效.docx,,,,,2022-06-29,,,人民日报海外版字号：默认,,国企办医疗机构改革取得成效 2022-06-29 07:58 来源： 人民日报海外版字号：默认 大 超大|打印| 国务院国资委日前举行全国国有企业办医疗机构改革巩固深化推进会。国资委党委委员、副主任翁杰明在会上表示，国有企业办医疗机构改革取得了重要成效。 医疗机构改革任务基本完成。通过移交地方、资源整合、关闭撤销、重组改制等多种方式积极推进改革。截至目前，全国国资系统监管企业2525个医疗机构，已完成改革2515个，完成率99.6%。共有69家中央企业和29个地方涉及医疗机构深化改革，其中航天科工、兵器装备集团、中国石油等54家中央企业和山西、江西、河南等23个省（区、市）全面完成改革任务，进一步减轻了企业负担，使企业得以轻装上阵、公平参与市场竞争。 医疗资源优化整合效果显著。国资委大力推进专业化整合，调整存量结构，优化增量投向，指导支持以医疗健康为主业的国有企业抓住机遇，积极参与重组并购，提高医疗资源集成效应。通用技术集团、华润集团、国药集团着力构建大健康生态系统，以市场化方式整合医疗资源，发展成为规模实力进一步壮大、业务布局进一步优化、产业链优势进一步增强的央企医疗集团，目前共有医疗机构662个、床位数8.9万张。山东省、陕西省组建区域健康医疗集团，深入推进本省国企医疗机构重组整合，加快培育龙头企业。 医疗保障服务能力不断提高。以医疗健康为主业的国有企业发挥精益化管理优势，加大自主创新力度，大力推动医、研、产融合发展，服务水平和保障能力进一步提高。宝石花医疗改革完成后，学科建设、诊疗水平大幅提升，经营状况、业务协同稳步向好，石油石化矿区职工家属就诊满意度稳步提高。（记者 徐佩玉）
国企改革三年行动70%目标任务完成.docx,,,,,2021-12-19,,,央视网字号：默认,,国企改革三年行动70%目标任务完成 2021-12-19 21:28 来源： 央视网字号：默认 大 超大|打印| 记者从国资委获悉，今年以来，国资委已经推动6起央企重组整合，中国特色现代企业制度和国资监管体制向更加成熟定型迈出实质性步伐。1—11月，央企利润总额2.3万亿元、净利润1.75万亿元。央企效益增长创历史最好水平。前三季度，中央企业战略性新兴产业完成投资7267亿元，同比增长6.3%。国企改革三年行动70%目标任务顺利完成，为企业高质量发展提供了强劲动力。下一步，央企将加快打造原创技术策源地，力争再用2—3年时间攻克一批关键核心技术，加快推动现代产业体系建设。
国企改革三年行动冲刺收官.docx,,,,,2022-09-09,,,经济日报字号：默认,,国企改革三年行动冲刺收官 2022-09-09 08:51 来源： 经济日报字号：默认 大 超大|打印| 国企改革三年行动已进入决战决胜的关键阶段。今年7月28日召开的中共中央政治局会议强调，要继续实施国企改革三年行动方案。“这既是对国企改革三年行动取得成绩的充分肯定，也是对高质量完成三年行动任务的殷切期望和鼓舞鞭策。”国务院国企改革领导小组办公室副主任、国资委副主任翁杰明表示。 据介绍，从在线数据看，目前各中央企业和各地改革工作台账完成率均超过98%。特别是今年以来，各中央企业和各地注重把工作重心由抓改革进度逐渐转移到提质量、求实效上，推动三年行动取得了新的成果。 但是，改革仍存在不平衡、穿透基层一线不够、部分重点改革任务形到神不到、改革质量和实效仍需提高等突出问题。国资国企要切实提升补短板强弱项的紧迫感和针对性，把改革实效作为重中之重。 今年7月，国务院国企改革领导小组办公室印发《关于抓好国企改革三年行动高质量收官有关事项的通知》。9月1日又召开专题推进会，聚焦巩固深化国企改革三年行动、补短板强弱项进行再部署再推进。 结合实践中反映的共性突出问题，会议强调了五大类任务，要锁定重点、靶向攻关，进一步精准动态高效推进补短板强弱项工作。具体包括，公司治理相关任务要聚焦权责清晰，重在精准衔接、磨合运行、优化提升；“三能”机制相关任务要聚焦普遍激活，重在落实见效、拓宽拓深、形成氛围；资源优化配置相关任务要聚焦核心竞争力，重在整体优化、措施有力、形成新格局；上市公司相关改革任务要聚焦示范引领，重在规范运作、提升质量、成为表率；国资监管相关任务要聚焦提升监管效能，重在统一规范、有机联动、协同高效。 国有控股上市公司是国有企业的主体，通过深化改革进一步搞好上市公司，发挥好示范引领作用，意义重大。会议对国有控股上市公司深化改革作出具体部署。 首先，要以股权结构优化促进治理机制完善。继续大力推动国有股东持股比例高于50%的上市公司，引入持股5%及以上的积极股东参与公司治理，支持积极股东提名董事人选参与上市公司决策。鼓励央企之间、央地之间通过认购股份、换股等多种方式作为积极股东参与完善公司治理。 其次，要加大对上市公司的授权放权力度。国有控股股东要按出资比例和公司章程依法合规履行出资人职责，不通过行政方式干预上市公司经营自主权。优先在上市公司全面依法落实董事会各项职权。 再次，要推动上市公司成为市场化经营机制的先锋表率。凡是三年行动要求的市场化机制改革任务，上市公司应率先高质量完成。支持鼓励上市公司与同行业头部企业在业绩、效率等方面全方位对标、针对性赶超。 最后，要继续推进混改企业深度转换经营机制。 值得注意的是，我国国有企业量大面广、传统体制惯性大、改革起点不一，要实现普遍的、深刻的、脱胎换骨的体制机制变革，必须勠力攻坚、善作善成。 会议要求，要增强系统合力、优化改革方法，全面高质量完成三年行动任务。各单位主要负责同志要扛起第一责任，亲自部署推动；对尚未完成、质量不高、实效不足的改革任务，领导班子要实行“包干制”。强化组织领导，夯实基础工作，坚持问题导向，鼓励创新性推进工作，加快建设世界一流企业。（记者 周雷）
国企改革三年行动取得重要阶段性成果.docx,,,,,2022-01-18,,,人民日报字号：默认,,国企改革三年行动取得重要阶段性成果 2022-01-18 07:51 来源： 人民日报字号：默认 大 超大|打印| 国企改革三年行动取得重要阶段性成果 布局优化和结构调整系统深入 记者从17日召开的国企改革三年行动专题推进会获悉：2021年，各中央企业、各地国资委和地方国有企业挂图作战、跑表计时，实现三年改革任务70%的年度目标，取得一系列重要阶段性成果。 中国特色现代企业制度更加成熟定型。前置事项清单全面制定并落地见效，全部中央企业集团公司和地方一级企业、绝大多数中央企业和地方重要子企业制定了清单，进一步厘清党组织与董事会之间的权责边界。各级国有企业基本实现董事会应建尽建，中央企业和地方国有企业子企业层面完成外部董事占多数的比例分别达到99.3%、94.2%。公司制改革基本完成，中央党政机关和直属事业单位所管理企业中公司制企业占比97.7%，地方国有企业中公司制企业占比99.9%。 布局优化和结构调整系统深入。中央企业完成一系列重大战略性重组和专业化整合，在战略性新兴产业投资力度持续加大。通过吸收合并、股权转让、注销等多种方式，中央企业压层减户、缩短管理链条，全年共“压减”法人户数2906户，管理层级控制在5级以内。有力有序清退低效无效资产，全国范围内纳入名单的“僵尸企业”已处置完成2.5万家，处置率超过95%。中央企业“两非”（非主业、非优势）剥离完成率达86.9%，地方“两非”“两资”（低效资产、无效资产）清理退出完成率达87.9%。中央企业重点亏损子企业三年减亏83.8%，地方重点亏损子企业专项治理完成率达90.1%。 科技创新政策效果显著。各中央企业和各地普遍制定并落实年度考核加分、研发费用视同利润加回、资本金注入、工资总额单列等政策。中央企业研发投入强度达到2.5%，其中工业企业达到2.9%。此外，打造“策源地”和“链长”企业迈出实质性步伐，重大科技创新成果量质齐升。 三项制度改革大范围破冰破局。经理层成员已签订契约的中央企业子企业和地方国有企业占比分别达到97.3%和94.7%，基本建立了中国特色现代企业制度下的新型经营责任制。中央企业、地方国有企业管理人员竞争上岗人数占比分别达到42.9%、37.7%，末等调整和不胜任退出人数占比分别达到4.5%、3.0%。据初步统计，中央企业已开展过中长期激励子企业占具备条件子企业的85.9%，惠及27.6万人，覆盖范围和激励人数均创新高。不少企业和地方还结合实际探索开展了骨干员工跟投等措施。 国资监管体制进一步健全。地方经营性国有资产集中统一监管目标提前完成。各级国资委强化履行国有企业出资人职责、专司国有资产监管职责和负责国有企业党的建设“三位一体”的职能配置，监管职责定位进一步明晰。全国国资国企在线监管系统建设加快推进，业务监督、综合监督、责任追究相衔接的出资人监督闭环逐步完善，中央企业内部协同高效的“大监督”模式加快建立。 “2022年是三年行动的攻坚之年、收官之年，要确保上半年在重点难点任务上取得根本性突破，完成主体任务，在党的二十大前基本完成各项任务，今年底前完成扫尾工作，实现全面胜利收官。”国务院国资委副主任翁杰明在会上表示，要抓好六方面重点工作：深度推进加强党的领导与完善公司治理相统一，切实提升董事会建设和运行质量；紧紧围绕提高效率激发活力，推动市场化机制各项措施全面走深走实；科技创新激励更精准更给力，打造一批原创技术策源地；加大力度推进结构调整和瘦身健体，坚决防范化解重大风险；因企因地因业分类改革，抓重点抓关键提高精准性；全面强化专业化体系化法治化监管，推动国资监管效能和优势充分发挥。（记者 刘志强）
