问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
22977065,1,夜雪,男,38627,https://www.zhihu.com/people/nightsnow,我本是卧龙岗扯淡的人,234314648,2022-12-14 05:57:47,884,5342,702,20210423这回答居然成了话题热门，过了几年不知道被哪位大佬翻牌了。看来天下苦台账久矣！在一个阴冷的12月，一位运行班长突然倒在一堆打印好的资料中，同事猛扑上去，拼命摇醒：“班长，你醒醒啊！”他虚弱地微睁双目，颤抖的右手努力去捡散落的纸张，吃力地挤出：“这，这是我们的班组工作日志、班长工作日志、周工作计划，月工作计划，安全培训、安全日活动、安全三查记录总结、班组无违章创建、安全专项活动、事故预想、反事故演习、考问讲解、设备缺陷记录、两票登记、环保宣教、三废处理、节能评价、对标管理、消防设施检查、设备巡回检查记录、设备点检记录、设备红外测温红外成像记录、班组安全工器具记录等技术台账若干。季度和年度工作计划、工作记录本、班务会记录本、班委会记录本、管理制度学习记录、规程规范年度修编、民主生活记录本，绩效沟通交流记录本，党员、团员理论学习记录本、两学一做记录本、周工作完成情况记录本，考勤记录本，特种作业持证上岗、岗位练兵技术比武、技术培训计划、班组成员技术培训档案、技术培训安全培训PPT 课件、活动记录、照片、视频、评分、总结，QC活动申报活动记录。工会活动记录、职工思想动态分析、关爱互助机制、职工小家活动记录、分析、总结，7S活动计划、活动记录、总结，五小活动计划、记录、总结，月度绩效评价、沟通记录，月工作汇报总结、季度谈话纪录、专题计划、分析、总结，专项检查总结、作风效能自查表、廉政自查表、民主评议党员表、年终考评表。明年工作思路、计划、规划、整改措施、周安全活动记录，安全工作总结、照片，春安秋安计划、分解表、总结，反违章活动计划、措施、分析，总结、整改措施、整改效果，工作反思和年终总结......还有我的职业生涯规划五年的、十年的、廿年的。请……请……请一定代我转交公司领导”。说完又陷入了昏迷。同事们含泪晃着的身子：“班长，班长，你醒醒，醒醒，公司还还...还...还有要求，还...还...还..要交电子版的打包发邮件......以及集团公司业务系统、集团公司班组建设系统、省公司营销系统、公司安全培训平台、公司OA系统、公司ERP……需要填写。现在事情有了转机，咱国企工作效率完全可以提高，各位班长也有了解脱的方法。把精力用在真正重要的任务里。班长也不用在文山会海面前瑟瑟发抖了。我们先来分析一下：其实把国企里面班组长这些工作分一下类，无非是一些几种：报表处理类、系统录入类、word文件处理类、运营监控类还有现在用的比较少的邮件处理一类的。运用Python可以很好的帮助我们对工作中的数据进行高效的处理，比如说用爬虫对网页获取大量的数据，然后导入表格，进行包装处理，最后得到结果按需要的格式保存就可以了。如果变态的领导让你把所有的Excel数据合在一个表格里面，你要是一个个复制粘贴，那要到猴年马月去了，如果用Python就可轻松搞定了，只需要输入几行代码，最后运行即可。还有工作中的其他应用，你也可以慢慢开发。而你要想学习这些，只需要你花费一点碎片时间，下载一个app：夜曲编程。零基础也可以哦。百职帮-夜曲编程百职帮-夜曲编程夜曲新职课这就是一位国企员工的真实写照，这效率低吗？上得了讲坛，扫得净茅房。绑得齐扎带，拉得动电缆。玩得了CAD，做得出PPT。写得完台账，绕得了线棒。看得了二次图，提得动加油壶。————评论区读后感分割线————这看起来像段子但真不是段子。其实还有好多具体工作的技术台账以及不经过我手的管理台账我没有列出来。看来评论区的各位同事同行朋友也生活在水深火热中啊，大家深有同感。只希望我们大家的领导不要看到这个答案，他们要是串通一起，把大家提到的东西互相学习查缺补漏的话就惨了啊！
22977065,1,Marvin Dada,男,12231,https://www.zhihu.com/people/dadamarvin,关注我，告诉你学校外，企业里，社会上的故事。,236152323,2017-10-03 04:23:31,2992,61624,9435,"我是个刷盘子的，嗯，国企刷盘工。一天我一个人能刷2500个盘子。因为干的好，被提拔为刷盘组组长，带着手下5个小弟干着刷盘子工作。我们6个人，每天任务是刷12000个盘子.6个人1.2W个盘子，工作不算轻松，但是每人刷个2000也不算太累。大家上班早8晚6，干着活儿聊着天，每天也算惬意。一个月过去了，我给领导报了个采购需求，本月一共用了3000瓶洗涤灵，60吨水。一共2万块！领导的态度是？卧槽，这么多东西？一下子2万块？洗个盘子一个月要花2W块？我怎么都不知道？都用哪儿了?隔壁公司我听说有举报，员工把洗涤灵拿回家了，还有偷出去倒卖的。有员工在工作时间洗澡洗脸洗菜带回家的。这不行，这有国有资产流失风险，我们得精细化管理。经过若干次会议，在充分听取了以若干刷盘组组长员工的意见之后，由我牵头列出了一个《刷盘子管理办法》（以下简称《办法》）主要内容如下。1:洗涤灵和水等物资统一管理，采购后存在专门库房，有专人管理。以后每次使用洗涤灵，需领导签字方可从库房领取。水费每天结算，一样要领导审核签字。2：每个员工的水龙头前设置独立水表，洗涤灵使用量也要做好登记，每月根据刷盘子的量审核用水量和洗涤灵量，超过平均值5%的要写说明。3：展开劳动竞赛，每天刷盘子最多的，有积分奖励，积分最高者，考评为A，年底增加工资5%。4：组织员工积极改进刷盘子办法，如何在保证质量的前提下，积极创新，提出更加省水和省洗涤灵的刷盘方法，每月组织评比，对于确有成效的改进办法，考评上会有所体现。于是，我们组，我就不刷盘子了，专门转岗负责每天统计每人的刷盘数量，和用水量。每周每月公布结果，然后每天拿着需求单追着领导签字。1个转岗负责管理洗涤灵的采购，入库，分发工作。同时负责每个人水表的安装检修工作以及每天的水费结算。现在就剩下4个人刷盘子了，每人每天3000个。有点吃力了。第二个月，洗涤灵少用了50瓶，水少用了5吨。忽然，领导又说，一个人管采购和库存还是存在问题，要分开以消除管理风险。于是只好我又专门找了个人，刷盘子的同时负责采购和水费结算，原来那个人继续负责库管。这样我们组就变成，我负责统计公布数据和各种报表及签字。1个人每天刷1500盘子，同时负责采购。1个人库管加水表维修水费结算。剩下3个人，每人刷3500盘子。大家加班都干不过来了。面对越积越多的盘子，我向领导申请，部门需要加个人。领导说“人员有编制上限，你又不是不知道，不能随便加人，看看明年总部能不能给咱们分个人再说吧。”“招临时工容易出事儿，最近也不让招了，你先自己想想办法。”我说“领导，其实办法也有。咱干脆辞个人把，现在一个人都刷3000多了，4个人就把这个事儿干了。也别按照《办法》弄了，咱们省下来这点东西还不如执行《办法》的人员工资多呢。按目前的标准，咱硬性规定使用量。在保证刷盘质量的基础上，谁省了洗涤灵和水，按照节约物资价值的1/4，给大家发奖金，这样谁也都不会浪费了。您看行么？”领导说“我们是国企，是有社会责任的，哪儿能随便辞人？”“你这个节约价值折奖金的办法倒是不错，但是工资总额是一定的，钱从哪儿出？采购物资的钱和人员工资能随便调嘛？是你我说了算的？”“回去干好你该干的事儿！”于是一切照旧，大家天天加班到晚上9点，干的苦不堪言，心想活儿没多，人没少，怎么就越来越累呢？后来，我们部门又改进了刷盘子办法，节约的洗涤灵和水更多了。年底，我们组由于1年内节约洗涤灵1500瓶，节约用水300吨，获得了总部的表扬，成为了改进典型。我们的方法也进一步细化成《刷盘优化处理流程》及《刷盘物资使用定额标准》在集团下所有刷盘工作中进行推广，由于集团有上百个刷盘组，纯靠人管理起来那是太有难度了，为此集团又上线了一个刷盘物料管理系统，物资集中采购申领，领导签字也改成系统提交流程，领导审批。但是我总感觉系统不是太好用，又不得不用。据说系统上线后，整个集团光刷盘这一块工作，1年就能节约几十万瓶洗涤灵，几万吨水呢，节约了好多好多钱。但……我们的工资好像没怎么涨。领导也因此升职了，去着手抓公司的擦桌子工作了。据说终于咬咬牙把自己那辆开了10年的帕萨特换成了低配A6。我呢，也从组长升到了科长,负责好多个刷盘组的工作安排。除了刷盘子的一线员工，每个人都很满意。但是大家都说我们公司效率低平均60人才刷12W盘子。后来由于我在刷盘届也算小有名气。我被猎头挖到了一个私人餐饮公司任刷盘总监。到岗我一看，呦呵，60个人，每天12W的盘子。轻车熟路啊。于是我拿着《办法》找到了老板。没想到老板说“我一个月营业额好几千万，为这点洗涤灵钱费这么大劲儿干嘛？回去吧，干好你该干的！ 让他们提高效率，成本就节约下来了。比你这个省事多了。”经过我的努力，一年后我辞了20个人，拿出10个人的工资总额加给剩下40人，然后组织剩下的40个人加班，让刷盘数量从每人2000提高到3000多，除了被辞掉的员工，每个人都很满意。大家都说我们公司人员效率高。"
22977065,1,奶茶罗先生,男,9998,https://www.zhihu.com/people/jun-luo-86,春风十里不如你，了不起的盖茨比,232469443,2017-09-19 15:04:19,467,3443,306,不是段子。5年前，我们分公司计划在人流量大的体育馆门口买一个门面，以后可以做自营厅。房东报价180万。发起了请购流程后，流程走啊走的，整个文件上一共有53位领导批示。这已经差不多一年时间过去了。随后第54位领导，终于留下了同意两个字。这时房东报价300万。
22977065,1,匿名用户,男,0,https://www.zhihu.com/people/,,258965002,2017-11-12 23:35:49,628,3443,323,低不低我不知道，我只说一件事，不是段子。北京某国字号部门下属一个办事的科，里面一共有5个正式员工，15个合同工，正式员工就是有编制的公务员。能每天一块钱去员工食堂享受大鱼大肉的，合同工就是每年一签合同，爱干干，不干滚的那种。这5个正式员工有1个男的4个女的，男的是其他部门竞争失败被调过来的，其余四个女的一个老领导的子女，一个军委某人物的亲戚的孩子，一个某省领导的女儿，还有一个也是关系很硬的人。他们基本上每天下午4点就走了，不指望那点工资，连他们的汽油费都不够，他们就是家里面安排来看着别乱跑的。而且基本上也没人敢指使她们。干活的基本上都是合同工，天天加班加点干的也是合同工，没有福利待遇的也是合同工，出了事顶缸的也是合同工，没办法，谁让你没有背景呢。这是08年在北京的真事。
22977065,1,WEI KAI,男,985,https://www.zhihu.com/people/wei-kai-65,大龄科技男,189797830,2017-09-28 09:08:02,374,2575,360,先做广告：这个回答也是我公众号里的一次推送。有兴趣的话微信搜索 头上有棵树------------------------------------------------------------------------------------------------------------------------最近一定是哪位大V翻牌子了 好想知道是哪谁宠幸了。—-------------------------------------------------------------------------------------------------------------------再更新：还是想补充一点。虽然我吐槽了这么多，但是我得说那五年的经历对我非常重要。我认识了这辈子最好的几个朋友，单位里有很多阿姨和姐姐对我都非常照顾，工作几年中午基本上不用操心饭的事情，阿姨们总会帮我带一点。还有几位老领导，以及我的师父，对我都很好。有位老领导从我一开始工作就带我，教会我如何控制情绪，如何透过表象看实质，如何避开官场那些乱七八糟的陷阱。这一切我如今都受益很多。所以，这篇东西目的是吐槽，所以就没有讲那些好的事情。如果有个问题是“国企有什么优点”，我其实也可以去答一答。--------------------------------------------------------------------------------------------------------------------------更新：有朋友问现在跳去了哪儿，我2012年辞职出国了，现在在硅谷一家科技公司做市场策略之类乱七八糟的管理工作。有朋友推测文章里的事情应该是几年的事儿。Bingo！发生在2007-2012之间。后来的事情我就不知道了，也许近几年有改观，可惜我没有赶上。另外文章有可能有以偏概全的地方。毕竟我只待过一家国企，而且待的还是管理部门，所以不代表全部。我相信很多搞技术的部门还是有更高效的管理模式。最后，朋友问是哪家国企。嗯，是一家国字头的搞科研的，常常上报纸上新闻经常一大堆人穿着白大褂鼓掌的一个单位。具体就不说了，免得被追杀。以上。感谢大家的赞同！-------------------------------------------------------------------------------------------------以下是原答案：我在泱泱大国企待了整整五年，当年把我从国企逼走的很大一个原因，就是国企的开会文化。 每次开会，尤其是自己部门主导的开会，那真是惨绝人寰一场刑罚。 写报告做PPT我是不怕的，改十遍改一百遍我都没意见，一个字儿一个标点符号，再慎重都是分内的事儿。真正可怕的是报告内容以外的事儿。 比如字号。第一版交上去，被打回来，说W院长年纪大，这种字号看不清。 好，字号调大了交上去，又被打回来。说Z院长倡导节约，字号调大了要挨骂的。 OK，没问题，打电话给各位院长的助理，记下大家的喜好，包括字号字体行间距，最后打出五个不同的版本，交上去。 又被打回来，因为有的院长喜欢在窄边儿订书钉，有的喜欢长边儿订。 我就特别想问一句，如果我真的订错了边儿，他们翻页时是会手骨折么？还是说身体会突然爆炸？ 又被打回来，因为字号不一样，导致不同版本页码不同，因此当说到“请看第三页第四段”的时候，会造成混乱。 好好好，你们厉害，干脆让我爆炸好了。 一点都不夸张，都是真事儿。  几天前在网上看到一篇文章，是一个在国家部委的公务员离职后写的，叙述自己为什么要辞职。其中也写到了有关开会的各种繁文缛节，看得我直拍大腿，感同身受。 有一段说到摆茶杯的问题，相信很多人都曾经在网上看过一张照片，是会议服务员拉着一根绳子量茶杯的情景，以确保所有的杯子在一根直线上。很多人觉得既夸张又匪夷所思，但是我却觉得司空见惯。  先讲一个真实的故事吧，有关茶杯的。 有次开会，会议服务员给大boss们倒水，走到某个boss身边，由于够不到杯子，就说了句：“麻烦您侧一下身儿，我给您倒个水” 。结果大boss怒目盯了这个服务员好几秒钟，会后，这个服务员就被炒了。 活该，你一区区服务员，怎么可能“麻烦一下”大boss呢，你应该身怀绝技如同长臂猿啊，要么也应该学会移形换位啊。要知道，大boss们永远都不会“麻烦”一下下的。 True Story。那篇文章里还说到了大boss们来开会时的接待问题，其兴师动众的程度，迎接皇上估计也差不多了。几年来，我个人经历的也不少。有关排场的事儿就不提了，我就说个令人印象深刻的小细节。 有一年上级来开会，除了七七八八的文件住宿接机拎包陪酒陪笑拍马屁之外，还做了充足的功课。充足到什么地步？了解到一位boss爱吃生的水萝卜，于是当天跑到北京一个五星级酒店买来了包装精美的新鲜水萝卜，一根根洗干净，重新包好，放在了那位boss的房间。 仍然是True Story。  曾经有位混迹多年的老领导给我传授经验，他说，他这几十年如履薄冰，走到现在，最重要的经验就是时时刻刻当那些大boss是生活不能自理的人，这样你才能尽可能的把所有的事情顾周全。 我感恩这位老领导的倾囊相授，但是我又不能否认我强烈的反感。在我看来，这不仅是一种资源和时间的浪费，更是一种阶级对立，一种明晃晃的不平等。 这种不平等从会外一直延伸到会内。 开会的目的，本来就应该是解决某个问题；开会的形式，本来就应该是大家一起讨论的过程。然而，我所经历的百分之九十九的会，都是几个大boss坐在上头轮流的念，其余的人都正襟危坐的在下面听，边听边做笔记。在这些会上，交流从来都是至上而下的，从来都是一种指示，一种命令。这种交流，是错的。 我曾经对这样的交流非常抵触，但经历了几次会议后，便开始默默地接受这种强奸。我刚入所后没多久便开了一次会，大boss在上面读报告，大家在下面齐刷刷的记。只有我抬着头看着大boss，觉得有眼神交流才是一种尊重。会后，部门领导特地来找我，问我为什么不记笔记。 我懵逼的一塌糊涂。 因为， 因为， 因为，大boss读的报告就是我写的啊！ 部门领导说，我当然知道，但你仍然要记。否则，别人会认为你听会不认真。 好吧，这么看来，开会跟我压根没什么关系，不需要我发言，不需要我反馈，连记笔记都是要演给别人看的。因此，我开启了我长达五年的会议涂鸦生涯。基本上，所有的大boss，都有画像留在了我的笔记本上。 几年的会议，我get了画画的技能，却失去了更重要的东西。如今我换了新的工作，在开会时，去发言，去挑战对方，去说出自己的疑惑，对我来说仍然不是很容易的事情，因为在我的潜意识里，发言的人仍然最有权威，而我的观点，似乎无关紧要。好在，在主持了越来越多的会，逼着自己发了越来越多的言之后，我已经逐渐扔掉了那个古旧的框子，开始允许自己的思维自由的生长。 其实，说这么多，这篇文章充其量也只是一篇吐槽文，压根无法改变任何事情。但是，这一篇也可以看做一篇科普文，通过一些琐事告诉更多年轻人，国企的文化与生存状态究竟是什么样子。 这样的文化并非一无是处，毕竟揣摩对方的心思，将事情做到事无巨细面面俱到，也是一种本领。而这种本领在销售或者市场方面，更是一种异于常人的长处。 只不过，这样的文化，并非适合每一个人，仅此而已。 
22977065,2,篷舟,男,2082,https://www.zhihu.com/people/peng-zhou-36,美国20年侨居，中国5年机器人自动化创业失败,2583156727,2022-08-17 07:58:18,198,1015,91,稍稍跑题一点，不是国企，是中科院，准确讲是99年的中科院北京某宿舍区。宿舍楼里装了电梯，面积很小，但是里面竟然有个专门的、全职的电梯操作员，还有一个带小桌子的高座位！电梯操作员都是大妈，织着毛衣听着收音机，手边一根小棍。有人进电梯就问一句“几楼？”，然后用小棍捅亮相应的楼层。我第一次去有点懵，没搞明白状况，习惯性地自己去按，结果挨了大妈一棍：“不许碰按钮！”电梯轿厢墙上有两个醒目的镜框，里面分别镶嵌着两份看起来极为庄严正规的文件。一份叫《电梯驾驶员工作规范》，另一份叫《电梯乘客行为守则》。时隔多年，我还记得《电梯驾驶员工作规范》有十多条，第一条曰“电梯驾驶员要严格要求自己，刻苦钻研开梯技术，努力提高开梯水平。”  《电梯乘客行为守则》也是十多条，第一条是“非电梯驾驶员严禁操作电梯！”100%真实，绝对不是段子。———2022年8月16日更新———看到有些知友评论说到电梯是特种设备，专人看管也不算错，想再明确一下我的观点：电梯是民用机械设备，其设计到制造的目标就是人人能用、日常安全，因此在易用性、防呆设计、和安全冗余方面都应该而且能够保证普通乘客就可以操作。世界第一台电梯是1853年投入使用的，中国第一台电梯出现在1901年的上海。1999年的居民楼电梯，绝对不需要专门的“驾驶员”。
22977065,2,灵剑,男,503844,https://www.zhihu.com/people/ling-jian-94,,189364146,2017-06-26 05:33:24,636,5304,783,从两年国企从业经验来说些个人看法：1. 缺乏淘汰机制，人浮于事。国企几乎没有开除员工的机制，不管是员工责任心不足、能力不强还是考勤不达标，最坏的结果就是考核拿个C，不予晋升，大部分情况既不会降级，也不会处分，除非出现重大责任事故否则很难遇到淘汰不合格员工的情况，这样如果员工乐得偷懒，企业就只能养个闲人。此外由于所谓“社会责任”，每年还要承担一定的应届生工作指标，其中一定比例是本地户籍的应届生。同样的现象还发生在领导层，一旦某个员工提拔为所谓中层领导（一般是部门负责人级别），就永远是中层领导，即便发现能力不足也不存在降级到普通员工或者撤职的情况，只能平调到其他部门担任副职之类，有时甚至出现为了安置某个不合格的领导层而单独成立部门的情况，演变成整个部门没有一个干活的人的结果2. 专业人才流失。与1相反，国企的总工资额度有非常严格的限制，大部分都用来养闲人，所以给除此以外的人的晋升和加薪空间很小，这样吃闲饭的也拿低工资，干了好几个人的活的也拿低工资，自然有能力的专业人才会不甘于混下去，而是练硬了本领就跳走，这样专业人才流失，反而混吃等死的越来越多。3. 领导层外行短视。国企领导层选拔往往优先考虑政治上是否过硬，而且经常调动升迁，许多领导在任上做不了几年，因此不愿意做长期计划，不愿意担责任。另一方面，即便有意愿改变国企现状，由于专业人才流失，领导层往往一个懂行的都没有，以至被伪造简历的“外聘人才”忽悠，被华为这样的大厂的销售绑架，被耍滑头虚报业绩的员工欺骗，让企业举步维艰这三点中最根本的是第一点，主要是强调社会责任以及领导怕事没有担当的结果。更根本的来说，国企效率低下是责任分散带来的效果，好比1000个人坐船上，船漏水了，但是是慢慢漏，离沉还远，谁都知道这么下去不行，但是补漏的可能反而被淹死，而且修好了船也不是自己的，船长盘算着早晚换船，会游泳的算计着啥时候跳海游走，还有人觉得离沉早着呢，还有人觉得天下的船都漏水，肯定漏着漏着自己就好了。船主在岸上呢，最该着急的人压根不知道船漏了。这个现象不仅国企有，在许多大企业内部也是顽疾，只是没有这么明显罢了。
22977065,2,清五郎,男,94391,https://www.zhihu.com/people/qing-wu-lang,影视/演唱会,189669201,2017-06-26 16:28:05,79,634,76,山东卫视工作人员450人其中正科级领导70人处级、副厅若干人其他各级领导、后勤、机关部门等200人还有若干成分不明人员实际一线工作人员90人—数据来源，山东卫视台长讲话
22977065,2,我身上的另一个我,女,100,https://www.zhihu.com/people/hua-sheng-ma-ma-0608,贸易,235378302,2019-01-30 04:36:10,217,750,76,就在职央企。央企就是有一小小撮可以干活的人（通常是没有什么背景的人），和一大堆职能部门（通常有背景，主要作用就是管理这一小小撮人，制定一大堆可以撇清关系、出事可以不负责任的制度），在发生任何问题时，能迅速、成功、有效地把责任推到这一小小撮人身上。至于说它赚不赚钱，鬼才知道。
22977065,2,创作者DC,男,82104,https://www.zhihu.com/people/dczld,动画人，自媒体人，视频作者。代表作《红领巾与王小明》《次元爱》,234619756,2017-09-24 06:15:04,243,1570,151,好多年前，我曾经在大学的一个化学试剂部门干活，负责给实验室做供给。我记得周一，我大清早十点半就来上班了，先是扫了扫仓库，然后接到了生物学院的电话。实验员问我们有没有丙酮。我说有啊，但那是易制毒，管制药品，要学院盖章，导师签字，先跟我们这拿申请材料。实验员说我们着急用！特别急！我说那也得签字盖章，规定。对方挂了。接着下午，他又打电话问:那我要无水丙酮，总可以吧？我说那不更毒了，更要盖章。他说哦。然后我下班了。第二天，他们派了个学生来取申请材料。第三天，他们说签好字了，让我去取。我说没时间啊，你送过来。快到下班的时候，有个学生跑来，放下了申请材料，然后被我们单位老人训了一顿说怎么快下班才来这么忙谁有空等着你啊。第四天上午，我发现对方只在材料上签了字，却没有盖章。认真负责的我打电话告诉了他们。下午，那个愁眉苦脸的学生又来了，拿走了材料。第五天，没来，我知道找学院盖章可费劲了。周末，休息。下个周一，没来。周二，来电话了。盖好章了，你们的丙酮是多少毫升一瓶啊？实验员问。我说500毫升。他说哦我要4瓶。我说你来拿吧现在没人服务。他说哦。过了一会，学生来了，递来了申请材料。我说要4瓶？他点头。我说申请上没写要几瓶啊，得写上数字。学生说我不敢写，得导师写。我说那你回去让写好再来。学生哭着脸走了。周二下午，终于实验员本人，和那个学生一起来了。4瓶试剂，一个500ml，他多要了两层塑料袋，一人拿两个，一手一个。实验员一边抱怨着累啊累，一边气踹嘘嘘地走了。历时9天的一个工作终于完成了。我没想到自己可以独立扛下这么大的挑战，坐在对面的科长对我投来了赞许的目光。
