问题id,页码,答主昵称,答主性别,答主粉丝数,答主主页,答主签名,回答id,回答时间,评论数,点赞数,喜欢数,回答内容
654972428,1,新的开始,男,1717,https://www.zhihu.com/people/luo-guo-dong-56,135兔兔246神神周日休息,3492270041,2024-05-09 04:48:03,219,5784,191,我经常看B站直播。据我观察，这事出了后，不但情侣分手，直播的老板都跑了不少，或者都不刷礼物了。估计也是受这个案例警醒，不当舔狗了。
654972428,1,金剩炭,未知,286,https://www.zhihu.com/people/yudaiyan,脑海里开着潜水艇,3489054962,2024-05-06 08:35:12,462,8992,257,情侣看了这新闻，各自都觉得不对劲。男性因为女朋友像谭竹要分手。女性因为男朋友不像胖猫要分手。
654972428,1,村长,男,274,https://www.zhihu.com/people/cun-chang-82-86,,3492238392,2024-05-09 04:23:18,121,4879,121,想起之前《消失的她》，那些走出电影院就给男朋友甩脸子的
654972428,1,lyx,男,258,https://www.zhihu.com/people/lyx-42-68,做梦都想赚钱，想着发财的男人,3492490478,2024-05-09 07:39:16,518,3776,111,前公司女同事，晚上突然找我聊天，聊着聊着就说自己饿，说让我请客，我说没钱，你请我先。她说不行，我没理她了。后面上班的时候，又叫我请她喝奶茶或者请她吃饭，我直接讲我没钱。她说她不信，又叫我请她吃饭。我直接一个字回她：“滚”
654972428,1,天天吃面条,未知,4600,https://www.zhihu.com/people/liu-yang-90-91-24,你好，请问充电器哪里有卖？,3493835232,2024-05-10 10:49:08,37,2432,76,因为死了。
654972428,2,东营男大,男,705,https://www.zhihu.com/people/--47-63-67-20,我只是个普普通通的大学生,3489149143,2024-05-06 09:59:44,131,7036,232,前天去KTV唱歌，有妹子过来要微信，都挺开心的，就留了妹子的微信，第二天上午给我发微信问我起了吗，我说起了，然后说想喝奶茶，我回都没回直接删了，你想喝奶茶你自己买去就是的，我又不是嫩爹，喝奶茶还要给我汇报吗？
654972428,2,提桶不跑路,男,709,https://www.zhihu.com/people/lin-yin-da-xia,10年工地狗,3488944076,2024-05-06 06:44:40,25,2417,57,胖猫以命入局，警醒世人。舔狗们都集体觉醒了，爱人先爱己，谋爱先谋生。
654972428,2,虎达利,男,5216,https://www.zhihu.com/people/hui-ge-49-52,,3492195317,2024-05-09 03:49:29,156,1843,122,胖猫事件只是完成了针对国内多年的畸形婚恋观的最后一击，在此之前这种趋势其实早已暗流涌动，就差一个节点，一起标志性事件，实现一个总爆发。这是一个旧时代的结束，以及另一个新时代的到来。男性拒绝当供养者，这一步日本早在20年前就已经走完了，这个历史趋势必然会到来，或早点或晚点而已，它甚至不以人的意志而转移，谁也无法阻挡。
654972428,2,庄世敦,未知,48,https://www.zhihu.com/people/ling-bo-ren-81,公众号【光素数学】,3492249740,2024-05-09 04:32:22,52,1655,47,胖猫和谭竹是情侣吗？他们做了什么情侣间该做的事了吗？谭竹的行为妥妥的就是诈骗犯罪。很多所谓“情侣”，摸着你们的良心再说一遍，你们真的是“情侣”吗？
654972428,2,平沙落雁飞,男,115,https://www.zhihu.com/people/tli2014,,3493025326,2024-05-09 16:33:19,75,1618,59,可怕的是谭竹一个极端例子么不是是晚上众多支持谭竹的女生
654972428,3,clearlove114514,男,393,https://www.zhihu.com/people/19331200770,,3491050574,2024-05-08 03:59:11,126,2214,66,一个真正爱你的女孩子，是会自己穿上婚纱去找你的。
654972428,3,叶牧风,男,2144,https://www.zhihu.com/people/xie-mu-feng-98,但见此心无别处，一叶飞扬牧清风。,3494481278,2024-05-13 11:37:32,56,1418,38,客观上胖猫被动当了一次中国婚恋市场的谭嗣同。其实应该是陈天华更合适。
654972428,3,小小粥,女,292,https://www.zhihu.com/people/xin-nian-nian-33,,3491566096,2024-05-08 11:02:59,42,2626,65,女：我们分手吧男：为什么？女：胖猫爱他女友，所以拼命赚钱，转了51w给谭竹，你呢，转过多少给我？你压根就是不爱我男：我们分手吧女：为什么？男：胖猫对她女友这么好，最后落了一个这样的下场，我不敢相信爱情。
654972428,3,殷浩天,男,107719,https://www.zhihu.com/people/yin-hao-tian-55,所有命运赐予的礼物都应该在高位变现,3495441769,2024-05-12 01:06:21,380,2170,116,昨天在X看到的，一些给X上的福利姬上供的性压抑男士们也觉得有点绷不住了，开始质问福利姬对于胖猫事件的看法。结果福利姬们却是一副关我啥事儿的无所谓态度，让这些老哥彻底破防了。经过这个事件，我感觉福利姬们的门槛费和图包收入都要大打折扣。这些福利姬们虽说收了不少老哥的供养，但好歹回馈了一些打胶用的图包以及时不时聊天给点情绪价值，相比谭竹还是有些基本的商业道德。我是觉得这种单方面的给女主播or女黄推上舰长过门槛的行为其实象征着一种单方面的爱恋，因为哪怕不花钱看到的内容也差不多，花钱了无非是能和她们产生更多的交集和互动罢了。可现如今这些男的一想到胖猫，内心多少都会升起一些大头战胜小头的坚强意志吧，至少以后会去耐心找免费的资源，而不是傻乎乎的给她们打钱去填补自己脑中的想象空间。
654972428,3,六道绝形踪,女,453,https://www.zhihu.com/people/2-95-54-58,图灵测试不过者勿扰,3491174370,2024-05-08 05:34:16,54,1623,63,因为男性越看越觉得女朋友有谭竹的影子。而女性越看越觉得男朋友怎么做不到胖猫那样。
654972428,4,ForEverglow,男,136,https://www.zhihu.com/people/yin-huang-chen,,3492774736,2024-05-09 11:49:50,25,1043,20,很多集美看完“消失的她”不也单方面分手了么这次感觉是集帅先动的
654972428,4,鸟雏先生,男,862,https://www.zhihu.com/people/niao-chu-xian-sheng,,3492690550,2024-05-13 09:31:08,69,985,32,我在soul上面遇到个女的，想着见一面，她问我去哪儿，我随便说了个公园，我想着你觉得不行可以换，或者你想去哪儿就去哪儿，都没问题，可丫直接开骂“你是有什么大病吗”，咱也不惯着她，直接给丫举报拉黑了，然后她被系统禁言了。然后，他另一个小号又过来骂我，说我小气，骂完把我拉黑了。给爷气笑了，是你要让我说去哪儿的，我说去公园你不想去可以换地方，或者你直接跟我说想让我请你吃饭也行，可你直接开骂，你都把“给钱”俩字写在脑门上了，哪个傻子能上钩？然后我又把她小号也举报了，禁言，拜拜了您嘞。
654972428,4,TAN,未知,629,https://www.zhihu.com/people/tan-67-9,,3493233674,2024-05-10 00:37:55,10,936,17,女的：为什么你不学学胖猫男的：为什么你这么像谭竹
654972428,4,旅仙生,未知,1376,https://www.zhihu.com/people/zhen-ren-lu-you,好吃懒做的专业食客，一直在旅行的艺术收藏家,3490486654,2024-05-07 16:55:59,906,2850,153,真没必要花心思鉴别女方是不是捞女。你就把握住一个原则，无论女方找什么借口跟你要钱或礼物，你别给就行了。如果她因为你不给钱就闹分手，那就说明她是捞女，你在她眼中的价值就是取款机，分了也没什么可惜的，早点止损。捞女都是男人的懦弱和卑微一步步惯出来的，不知道拒绝女人，越到后来越难回头，直到被榨干。这就是胖猫用生命给世人的警示。可能这些分手情侣本来的模式就是谭竹胖猫，现在胖猫们决定及时止损了，谭竹们看再继续下去也捞不到了，等不到榨干的那一天了，就不演了，再去找下一个胖猫。
654972428,4,摸鱼大队长,未知,1392,https://www.zhihu.com/people/he-chun-guang-90-85,土匪就是土匪，怎么粉饰都没用，土匪基因刻在骨头里，草台班子,3494124709,2024-05-10 15:40:26,65,973,22,说那么多，还不是男的没那么多钱，哼
654972428,5,郭德纲,未知,417,https://www.zhihu.com/people/guo-de-gang-32-40,,3492450842,2024-05-14 05:18:07,40,965,46,女性现在是已经清醒觉醒，独立的走向成长的道路上，希望广大男同胞们能够自信起来，睁眼看世界。不要因为破防了之后，骂骂咧咧，哭哭啼啼。
654972428,5,花与时光同眠,男,4598,https://www.zhihu.com/people/hua-kai-cheng-hai-70-39,做了这行，真是看遍世态炎凉,3494310269,2024-05-11 13:36:47,128,984,32,我老婆体制内我在家待业两年这两年我老婆以各种各样的借口给我发红包，怕我没钱用~~~~~我跟我老婆不是江西嘛！当初她家要彩礼16.8，然后我老婆回去跟她爸妈拍了一晚上桌子要降低。这事我感觉这辈子都欠她的
654972428,5,老陈,男,128,https://www.zhihu.com/people/stupid-yang-7,人不与犬争,3492701066,2024-05-09 10:50:40,76,771,27,我和我对象只是一起震撼怎么有人能挣50多万全部拱手白送他人，对家人却毫不顾及。这个谭竹甚至都没采用什么高级骗术，就是一直“哥哥，打钱”。
654972428,5,李耀,男,28,https://www.zhihu.com/people/li-yao-62-69,非皇汉的汉民族主义，虽然讨厌一些东西但是不会为豺狼虎豹带路,3492392165,2024-05-09 06:13:15,52,947,33,臣有一言，主公何不把钱都冲进三国杀？漢室兴复，指日可待！
654972428,5,执笔,未知,358,https://www.zhihu.com/people/zhi-bi-43-43,,3492048994,2024-05-11 13:44:00,396,1779,130,胖猫事件的女主谭竹，我有可能认识……翻聊天记录翻到的，已经被拉黑头像很眼熟，她还问我要过一只口红，我以前不在重庆但是偶尔打游戏也喜欢点陪玩好险，差一点上新闻的就是我前几天发了抖音 现在TZ已经换了头像 补上一位知友的分析，我觉得挺有道理的。她没骗到我，这些年我在女人身上经历过的坑数不胜数，都能写一本书了。TZ这种方式也只是为了筛选目标群体而已，我前任们大部分都比TZ有手段有谋略，我自己身上也有很多重量级的瓜不输胖猫，只是没被曝出来。但是我的心理承受能力很强大一直坚持到了今天。胖猫不同，他没什么和异性相处的经历，也不多才是导致今天这样后果的原因。男人只要多当几次买单侠和司机侠就能长记性了，这种低级的手段也就骗不到了。
